,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,0.000000,0.000000,0.000000,0.000000,46.295476,0.0
301,2,0.000000,0.000000,0.000000,0.000000,44.740905,0.0
301,3,0.000000,0.000000,0.000000,0.000000,43.630497,0.0
301,4,0.000000,0.000000,0.000000,0.000000,43.425498,0.0
301,5,0.000000,0.000000,0.000000,0.000000,43.647580,0.0
301,6,0.000000,0.000000,0.000000,0.000000,46.073394,0.0
301,7,0.000000,0.000000,0.000000,0.000000,52.291680,0.0
301,8,0.000000,0.000000,0.000000,0.000000,56.049984,0.0
301,9,0.000000,0.000000,0.000000,0.000000,59.534957,0.0
301,10,0.000000,0.000000,0.000000,0.000000,61.533692,0.0
301,11,0.000000,0.000000,0.000000,0.000000,63.532426,0.0
301,12,0.000000,0.000000,0.000000,0.000000,63.993673,0.0
301,13,0.000000,0.000000,0.000000,0.000000,64.079089,0.0
301,14,0.000000,0.000000,0.000000,0.000000,64.489086,0.0
301,15,0.000000,0.000000,0.000000,0.000000,63.720342,0.0
301,16,0.000000,0.000000,0.000000,0.000000,62.712433,0.0
301,17,0.000000,0.000000,0.000000,0.000000,61.875356,0.0
301,18,0.000000,0.000000,0.000000,0.000000,65.838659,0.0
301,19,0.000000,0.000000,0.000000,0.000000,68.742803,0.0
301,20,0.000000,0.000000,0.000000,0.000000,66.624486,0.0
301,21,0.000000,0.000000,0.000000,0.000000,64.096172,0.0
301,22,0.000000,0.000000,0.000000,0.000000,59.534957,0.0
301,23,0.000000,0.000000,0.000000,0.000000,54.000000,0.0
301,24,0.000000,0.000000,0.000000,0.000000,49.524201,0.0
302,1,0.000000,0.000000,0.000000,0.000000,41.580196,0.0
302,2,0.000000,0.000000,0.000000,0.000000,40.183961,0.0
302,3,0.000000,0.000000,0.000000,0.000000,39.186650,0.0
302,4,0.000000,0.000000,0.000000,0.000000,39.002531,0.0
302,5,0.000000,0.000000,0.000000,0.000000,39.201993,0.0
302,6,0.000000,0.000000,0.000000,0.000000,41.380734,0.0
302,7,0.000000,0.000000,0.000000,0.000000,46.965675,0.0
302,8,0.000000,0.000000,0.000000,0.000000,50.341190,0.0
302,9,0.000000,0.000000,0.000000,0.000000,53.471212,0.0
302,10,0.000000,0.000000,0.000000,0.000000,55.266371,0.0
302,11,0.000000,0.000000,0.000000,0.000000,57.061531,0.0
302,12,0.000000,0.000000,0.000000,0.000000,57.475799,0.0
302,13,0.000000,0.000000,0.000000,0.000000,57.552515,0.0
302,14,0.000000,0.000000,0.000000,0.000000,57.920753,0.0
302,15,0.000000,0.000000,0.000000,0.000000,57.230307,0.0
302,16,0.000000,0.000000,0.000000,0.000000,56.325055,0.0
302,17,0.000000,0.000000,0.000000,0.000000,55.573236,0.0
302,18,0.000000,0.000000,0.000000,0.000000,59.132869,0.0
302,19,0.000000,0.000000,0.000000,0.000000,61.741221,0.0
302,20,0.000000,0.000000,0.000000,0.000000,59.838659,0.0
302,21,0.000000,0.000000,0.000000,0.000000,57.567858,0.0
302,22,0.000000,0.000000,0.000000,0.000000,53.471212,0.0
302,23,0.000000,0.000000,0.000000,0.000000,48.500000,0.0
302,24,0.000000,0.000000,0.000000,0.000000,44.480070,0.0
303,1,0.000000,0.000000,0.000000,0.000000,77.159127,0.0
303,2,0.000000,0.000000,0.000000,0.000000,74.568175,0.0
303,3,0.000000,0.000000,0.000000,0.000000,72.717494,0.0
303,4,0.000000,0.000000,0.000000,0.000000,72.375830,0.0
303,5,0.000000,0.000000,0.000000,0.000000,72.745966,0.0
303,6,0.000000,0.000000,0.000000,0.000000,76.788991,0.0
303,7,0.000000,0.000000,0.000000,0.000000,87.152800,0.0
303,8,0.000000,0.000000,0.000000,0.000000,93.416640,0.0
303,9,0.000000,0.000000,0.000000,0.000000,99.224929,0.0
303,10,0.000000,0.000000,0.000000,0.000000,102.556153,0.0
303,11,0.000000,0.000000,0.000000,0.000000,105.887377,0.0
303,12,0.000000,0.000000,0.000000,0.000000,106.656121,0.0
303,13,0.000000,0.000000,0.000000,0.000000,106.798481,0.0
303,14,0.000000,0.000000,0.000000,0.000000,107.481810,0.0
303,15,0.000000,0.000000,0.000000,0.000000,106.200569,0.0
303,16,0.000000,0.000000,0.000000,0.000000,104.520721,0.0
303,17,0.000000,0.000000,0.000000,0.000000,103.125593,0.0
303,18,0.000000,0.000000,0.000000,0.000000,109.731098,0.0
303,19,0.000000,0.000000,0.000000,0.000000,114.571338,0.0
303,20,0.000000,0.000000,0.000000,0.000000,111.040810,0.0
303,21,0.000000,0.000000,0.000000,0.000000,106.826954,0.0
303,22,0.000000,0.000000,0.000000,0.000000,99.224929,0.0
303,23,0.000000,0.000000,0.000000,0.000000,90.000000,0.0
303,24,0.000000,0.000000,0.000000,0.000000,82.540335,0.0
304,1,0.000000,0.000000,0.000000,0.000000,31.720974,0.0
304,2,0.000000,0.000000,0.000000,0.000000,30.655805,0.0
304,3,0.000000,0.000000,0.000000,0.000000,29.894970,0.0
304,4,0.000000,0.000000,0.000000,0.000000,29.754508,0.0
304,5,0.000000,0.000000,0.000000,0.000000,29.906675,0.0
304,6,0.000000,0.000000,0.000000,0.000000,31.568807,0.0
304,7,0.000000,0.000000,0.000000,0.000000,35.829484,0.0
304,8,0.000000,0.000000,0.000000,0.000000,38.404619,0.0
304,9,0.000000,0.000000,0.000000,0.000000,40.792471,0.0
304,10,0.000000,0.000000,0.000000,0.000000,42.161974,0.0
304,11,0.000000,0.000000,0.000000,0.000000,43.531477,0.0
304,12,0.000000,0.000000,0.000000,0.000000,43.847517,0.0
304,13,0.000000,0.000000,0.000000,0.000000,43.906042,0.0
304,14,0.000000,0.000000,0.000000,0.000000,44.186966,0.0
304,15,0.000000,0.000000,0.000000,0.000000,43.660234,0.0
304,16,0.000000,0.000000,0.000000,0.000000,42.969630,0.0
304,17,0.000000,0.000000,0.000000,0.000000,42.396077,0.0
304,18,0.000000,0.000000,0.000000,0.000000,45.111674,0.0
304,19,0.000000,0.000000,0.000000,0.000000,47.101550,0.0
304,20,0.000000,0.000000,0.000000,0.000000,45.650111,0.0
304,21,0.000000,0.000000,0.000000,0.000000,43.917748,0.0
304,22,0.000000,0.000000,0.000000,0.000000,40.792471,0.0
304,23,0.000000,0.000000,0.000000,0.000000,37.000000,0.0
304,24,0.000000,0.000000,0.000000,0.000000,33.933249,0.0
305,1,0.000000,0.000000,0.000000,0.000000,30.434989,0.0
305,2,0.000000,0.000000,0.000000,0.000000,29.413002,0.0
305,3,0.000000,0.000000,0.000000,0.000000,28.683012,0.0
305,4,0.000000,0.000000,0.000000,0.000000,28.548244,0.0
305,5,0.000000,0.000000,0.000000,0.000000,28.694242,0.0
305,6,0.000000,0.000000,0.000000,0.000000,30.288991,0.0
305,7,0.000000,0.000000,0.000000,0.000000,34.376938,0.0
305,8,0.000000,0.000000,0.000000,0.000000,36.847675,0.0
305,9,0.000000,0.000000,0.000000,0.000000,39.138722,0.0
305,10,0.000000,0.000000,0.000000,0.000000,40.452705,0.0
305,11,0.000000,0.000000,0.000000,0.000000,41.766688,0.0
305,12,0.000000,0.000000,0.000000,0.000000,42.069915,0.0
305,13,0.000000,0.000000,0.000000,0.000000,42.126068,0.0
305,14,0.000000,0.000000,0.000000,0.000000,42.395603,0.0
305,15,0.000000,0.000000,0.000000,0.000000,41.890225,0.0
305,16,0.000000,0.000000,0.000000,0.000000,41.227618,0.0
305,17,0.000000,0.000000,0.000000,0.000000,40.677317,0.0
305,18,0.000000,0.000000,0.000000,0.000000,43.282822,0.0
305,19,0.000000,0.000000,0.000000,0.000000,45.192028,0.0
305,20,0.000000,0.000000,0.000000,0.000000,43.799431,0.0
305,21,0.000000,0.000000,0.000000,0.000000,42.137298,0.0
305,22,0.000000,0.000000,0.000000,0.000000,39.138722,0.0
305,23,0.000000,0.000000,0.000000,0.000000,35.500000,0.0
305,24,0.000000,0.000000,0.000000,0.000000,32.557577,0.0
306,1,0.000000,0.000000,0.000000,0.000000,58.298007,0.0
306,2,0.000000,0.000000,0.000000,0.000000,56.340399,0.0
306,3,0.000000,0.000000,0.000000,0.000000,54.942107,0.0
306,4,0.000000,0.000000,0.000000,0.000000,54.683961,0.0
306,5,0.000000,0.000000,0.000000,0.000000,54.963619,0.0
306,6,0.000000,0.000000,0.000000,0.000000,58.018349,0.0
306,7,0.000000,0.000000,0.000000,0.000000,65.848782,0.0
306,8,0.000000,0.000000,0.000000,0.000000,70.581462,0.0
306,9,0.000000,0.000000,0.000000,0.000000,74.969946,0.0
306,10,0.000000,0.000000,0.000000,0.000000,77.486871,0.0
306,11,0.000000,0.000000,0.000000,0.000000,80.003796,0.0
306,12,0.000000,0.000000,0.000000,0.000000,80.584625,0.0
306,13,0.000000,0.000000,0.000000,0.000000,80.692186,0.0
306,14,0.000000,0.000000,0.000000,0.000000,81.208478,0.0
306,15,0.000000,0.000000,0.000000,0.000000,80.240430,0.0
306,16,0.000000,0.000000,0.000000,0.000000,78.971212,0.0
306,17,0.000000,0.000000,0.000000,0.000000,77.917115,0.0
306,18,0.000000,0.000000,0.000000,0.000000,82.907941,0.0
306,19,0.000000,0.000000,0.000000,0.000000,86.565011,0.0
306,20,0.000000,0.000000,0.000000,0.000000,83.897501,0.0
306,21,0.000000,0.000000,0.000000,0.000000,80.713698,0.0
306,22,0.000000,0.000000,0.000000,0.000000,74.969946,0.0
306,23,0.000000,0.000000,0.000000,0.000000,68.000000,0.0
306,24,0.000000,0.000000,0.000000,0.000000,62.363809,0.0
307,1,0.000000,0.000000,0.000000,0.000000,53.582727,0.0
307,2,0.000000,0.000000,0.000000,0.000000,51.783455,0.0
307,3,0.000000,0.000000,0.000000,0.000000,50.498260,0.0
307,4,0.000000,0.000000,0.000000,0.000000,50.260993,0.0
307,5,0.000000,0.000000,0.000000,0.000000,50.518032,0.0
307,6,0.000000,0.000000,0.000000,0.000000,53.325688,0.0
307,7,0.000000,0.000000,0.000000,0.000000,60.522778,0.0
307,8,0.000000,0.000000,0.000000,0.000000,64.872667,0.0
307,9,0.000000,0.000000,0.000000,0.000000,68.906201,0.0
307,10,0.000000,0.000000,0.000000,0.000000,71.219551,0.0
307,11,0.000000,0.000000,0.000000,0.000000,73.532901,0.0
307,12,0.000000,0.000000,0.000000,0.000000,74.066751,0.0
307,13,0.000000,0.000000,0.000000,0.000000,74.165612,0.0
307,14,0.000000,0.000000,0.000000,0.000000,74.640146,0.0
307,15,0.000000,0.000000,0.000000,0.000000,73.750395,0.0
307,16,0.000000,0.000000,0.000000,0.000000,72.583834,0.0
307,17,0.000000,0.000000,0.000000,0.000000,71.614995,0.0
307,18,0.000000,0.000000,0.000000,0.000000,76.202151,0.0
307,19,0.000000,0.000000,0.000000,0.000000,79.563429,0.0
307,20,0.000000,0.000000,0.000000,0.000000,77.111674,0.0
307,21,0.000000,0.000000,0.000000,0.000000,74.185384,0.0
307,22,0.000000,0.000000,0.000000,0.000000,68.906201,0.0
307,23,0.000000,0.000000,0.000000,0.000000,62.500000,0.0
307,24,0.000000,0.000000,0.000000,0.000000,57.319677,0.0
308,1,0.000000,0.000000,0.000000,0.000000,73.301170,0.0
308,2,0.000000,0.000000,0.000000,0.000000,70.839766,0.0
308,3,0.000000,0.000000,0.000000,0.000000,69.081620,0.0
