timepoint,Storage_Index,ChargeMaxOffer,DischargeMaxOffer
1,313_STORAGE_1,13.371842000000001,15.731578823529413
2,313_STORAGE_1,13.371842000000001,15.731578823529413
3,313_STORAGE_1,13.371842000000001,15.731578823529413
4,313_STORAGE_1,13.371842000000001,15.731578823529413
5,313_STORAGE_1,13.371842149999999,15.731579
6,313_STORAGE_1,13.371842149999999,15.731579
7,313_STORAGE_1,13.371842149999999,15.731579
8,313_STORAGE_1,-0.0,-0.0
9,313_STORAGE_1,-0.0,-0.0
10,313_STORAGE_1,-0.0,-0.0
11,313_STORAGE_1,-0.0,-0.0
12,313_STORAGE_1,-0.0,-0.0
13,313_STORAGE_1,-0.0,-0.0
14,313_STORAGE_1,-0.0,-0.0
15,313_STORAGE_1,0.0,0.0
16,313_STORAGE_1,0.0,0.0
17,313_STORAGE_1,0.0,0.0
18,313_STORAGE_1,0.0,0.0
19,313_STORAGE_1,0.0,0.0
20,313_STORAGE_1,0.0,0.0
21,313_STORAGE_1,0.0,0.0
22,313_STORAGE_1,0.0,0.0
23,313_STORAGE_1,0.0,0.0
24,313_STORAGE_1,0.0,0.0
