,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,49.644990,0.000000,0.000000
C1-2,48.155787,0.000000,0.000000
C1-3,47.922773,0.000000,0.000000
C1-4,47.896648,0.000000,0.000000
C1-5,41.595747,0.000000,0.000000
C1-6,49.695050,0.000000,0.000000
C1-7,49.881185,0.000000,0.000000
C1-8,50.681707,0.000000,0.000000
C1-9,51.991701,0.000000,0.000000
C1-10,52.310590,0.000000,0.000000
C1-11,53.224868,0.000000,0.000000
C1-12,53.153509,0.000000,0.000000
C1-13,53.516002,0.000000,0.000000
C1-14,53.562407,0.000000,0.000000
C1-15,54.148438,0.000000,0.000000
C1-16,53.180921,0.000000,0.000000
C1-17,52.685632,0.000000,0.000000
C1-18,53.920514,0.000000,0.000000
C1-19,53.798563,0.000000,0.000000
C1-20,53.213403,0.000000,0.000000
C1-21,52.618137,0.000000,0.000000
C1-22,51.679613,0.000000,0.000000
C1-23,46.659885,0.000000,0.000000
C1-24,49.299087,0.000000,0.000000
C2-1,-121.975705,0.000000,0.000000
C2-2,-129.244813,0.000000,0.000000
C2-3,-128.313781,0.000000,0.000000
C2-4,-128.207230,0.000000,0.000000
C2-5,-102.484653,0.000000,0.000000
C2-6,-121.494398,0.000000,0.000000
C2-7,-135.556598,0.000000,0.000000
C2-8,-138.532729,0.000000,0.000000
C2-9,-137.248920,0.000000,0.000000
C2-10,-141.287094,0.000000,0.000000
C2-11,-140.391944,0.000000,0.000000
C2-12,-143.886454,0.000000,0.000000
C2-13,-142.157161,0.000000,0.000000
C2-14,-142.460544,0.000000,0.000000
C2-15,-138.490028,0.000000,0.000000
C2-16,-143.226871,0.000000,0.000000
C2-17,-145.863558,0.000000,0.000000
C2-18,-149.882598,0.000000,0.000000
C2-19,-150.082371,0.000000,0.000000
C2-20,-147.730899,0.000000,0.000000
C2-21,-145.636523,0.000000,0.000000
C2-22,-141.251531,0.000000,0.000000
C2-23,-129.212880,0.000000,0.000000
C2-24,-133.225598,0.000000,0.000000
C3-1,26.821066,0.000000,0.000000
C3-2,37.270614,0.000000,0.000000
C3-3,37.631755,0.000000,0.000000
C3-4,37.670911,0.000000,0.000000
C3-5,17.787989,0.000000,0.000000
C3-6,26.323865,0.000000,0.000000
C3-7,34.237893,0.000000,0.000000
C3-8,32.860197,0.000000,0.000000
C3-9,26.815587,0.000000,0.000000
C3-10,28.023641,0.000000,0.000000
C3-11,23.805481,0.000000,0.000000
C3-12,26.243859,0.000000,0.000000
C3-13,23.724993,0.000000,0.000000
C3-14,23.725723,0.000000,0.000000
C3-15,18.930011,0.000000,0.000000
C3-16,25.727696,0.000000,0.000000
C3-17,29.338002,0.000000,0.000000
C3-18,26.860534,0.000000,0.000000
C3-19,27.472673,0.000000,0.000000
C3-20,28.371340,0.000000,0.000000
C3-21,29.468877,0.000000,0.000000
C3-22,30.532374,0.000000,0.000000
C3-23,28.860493,0.000000,0.000000
C3-24,35.136887,0.000000,0.000000
C4-1,-10.233419,0.000000,0.000000
C4-2,-17.304627,0.000000,0.000000
C4-3,-16.766813,0.000000,0.000000
C4-4,-16.704793,0.000000,0.000000
C4-5,-10.207368,0.000000,0.000000
C4-6,-9.807357,0.000000,0.000000
C4-7,-20.824152,0.000000,0.000000
C4-8,-22.494997,0.000000,0.000000
C4-9,-20.337223,0.000000,0.000000
C4-10,-23.270430,0.000000,0.000000
C4-11,-21.765143,0.000000,0.000000
C4-12,-24.604963,0.000000,0.000000
C4-13,-22.915615,0.000000,0.000000
C4-14,-23.116496,0.000000,0.000000
C4-15,-19.451487,0.000000,0.000000
C4-16,-24.056847,0.000000,0.000000
C4-17,-26.582787,0.000000,0.000000
C4-18,-28.705585,0.000000,0.000000
C4-19,-28.970258,0.000000,0.000000
C4-20,-27.609010,0.000000,0.000000
C4-21,-26.460906,0.000000,0.000000
C4-22,-23.789929,0.000000,0.000000
C4-23,-22.740994,0.000000,0.000000
C4-24,-19.476519,0.000000,0.000000
C5-1,19.004002,0.000000,0.000000
C5-2,26.104989,0.000000,0.000000
C5-3,26.285442,0.000000,0.000000
C5-4,26.304700,0.000000,0.000000
C5-5,13.092106,0.000000,0.000000
C5-6,18.658687,0.000000,0.000000
C5-7,24.506825,0.000000,0.000000
C5-8,23.786795,0.000000,0.000000
C5-9,19.839681,0.000000,0.000000
C5-10,20.836318,0.000000,0.000000
C5-11,18.081912,0.000000,0.000000
C5-12,19.837718,0.000000,0.000000
C5-13,18.127283,0.000000,0.000000
C5-14,18.144420,0.000000,0.000000
C5-15,14.850637,0.000000,0.000000
C5-16,19.470447,0.000000,0.000000
C5-17,21.930710,0.000000,0.000000
C5-18,20.562669,0.000000,0.000000
C5-19,20.966227,0.000000,0.000000
C5-20,21.413365,0.000000,0.000000
C5-21,22.002169,0.000000,0.000000
C5-22,22.443284,0.000000,0.000000
C5-23,21.177058,0.000000,0.000000
C5-24,24.955296,0.000000,0.000000
C6-1,175.000000,0.000000,0.000000
C6-2,175.000000,0.000000,0.000000
C6-3,175.000000,0.000000,0.000000
C6-4,175.000000,0.000000,0.000000
C6-5,140.986225,0.000000,0.000000
C6-6,175.000000,0.000000,0.000000
C6-7,175.000000,0.000000,0.000000
C6-8,175.000000,0.000000,0.000000
C6-9,175.000000,0.000000,0.000000
C6-10,175.000000,0.000000,0.000000
C6-11,175.000000,0.000000,0.000000
C6-12,175.000000,0.000000,0.000000
C6-13,175.000000,0.000000,0.000000
C6-14,175.000000,0.000000,0.000000
C6-15,175.000000,0.000000,0.000000
C6-16,175.000000,0.000000,0.000000
C6-17,175.000000,0.000000,36.682861
C6-18,175.000000,0.000000,0.000000
C6-19,175.000000,0.000000,57.218865
C6-20,175.000000,0.000000,57.218865
C6-21,175.000000,0.000000,0.000000
C6-22,175.000000,0.000000,0.000000
C6-23,158.301668,0.000000,0.000000
C6-24,175.000000,0.000000,0.000000
C7-1,8.158816,0.000000,0.000000
C7-2,104.324000,0.000000,0.000000
C7-3,110.852970,0.000000,0.000000
C7-4,111.576062,0.000000,0.000000
C7-5,-48.566300,0.000000,0.000000
C7-6,3.712742,0.000000,0.000000
C7-7,52.231645,0.000000,0.000000
C7-8,45.230424,0.000000,0.000000
C7-9,124.564236,0.000000,0.000000
C7-10,-1.735484,0.000000,0.000000
C7-11,141.908562,0.000000,0.000000
C7-12,88.585637,0.000000,0.000000
C7-13,219.204072,0.000000,0.000000
C7-14,46.784374,0.000000,0.000000
C7-15,175.285047,0.000000,0.000000
C7-16,42.646579,0.000000,0.000000
C7-17,43.135701,0.000000,0.000000
C7-18,37.930249,0.000000,0.000000
C7-19,54.809799,0.000000,0.000000
C7-20,42.376653,0.000000,0.000000
C7-21,110.347627,0.000000,0.000000
C7-22,122.549228,0.000000,0.000000
C7-23,5.483427,0.000000,0.000000
C7-24,69.870170,0.000000,0.000000
C8-1,-41.415956,0.000000,0.000000
C8-2,-47.328354,0.000000,0.000000
C8-3,-46.064820,0.000000,0.000000
C8-4,-45.920864,0.000000,0.000000
C8-5,-39.739478,0.000000,0.000000
C8-6,-40.966484,0.000000,0.000000
C8-7,-56.068379,0.000000,0.000000
C8-8,-60.173896,0.000000,0.000000
C8-9,-60.380564,0.000000,0.000000
C8-10,-65.034428,0.000000,0.000000
C8-11,-65.179569,0.000000,0.000000
C8-12,-68.791929,0.000000,0.000000
C8-13,-67.395210,0.000000,0.000000
C8-14,-67.771668,0.000000,0.000000
C8-15,-64.270531,0.000000,0.000000
C8-16,-68.126761,0.000000,0.000000
C8-17,-70.324957,0.000000,0.000000
C8-18,-76.052943,0.000000,0.000000
C8-19,-76.118629,0.000000,0.000000
C8-20,-72.931376,0.000000,0.000000
C8-21,-70.004089,0.000000,0.000000
C8-22,-64.242950,0.000000,0.000000
C8-23,-59.530302,0.000000,0.000000
C8-24,-52.906446,0.000000,0.000000
C9-1,-3.097314,0.000000,0.000000
C9-2,8.464065,0.000000,0.000000
C9-3,9.521505,0.000000,0.000000
C9-4,9.639275,0.000000,0.000000
C9-5,-10.546874,0.000000,0.000000
C9-6,-3.572054,0.000000,0.000000
C9-7,0.422486,0.000000,0.000000
C9-8,-3.291180,0.000000,0.000000
C9-9,-11.604375,0.000000,0.000000
C9-10,-12.047222,0.000000,0.000000
C9-11,-17.848900,0.000000,0.000000
C9-12,-16.151743,0.000000,0.000000
C9-13,-18.951376,0.000000,0.000000
C9-14,-19.119105,0.000000,0.000000
C9-15,-24.072045,0.000000,0.000000
C9-16,-16.555600,0.000000,0.000000
C9-17,-12.630837,0.000000,0.000000
C9-18,-18.567337,0.000000,0.000000
C9-19,-17.764278,0.000000,0.000000
C9-20,-15.113633,0.000000,0.000000
C9-21,-12.309042,0.000000,0.000000
C9-22,-8.280660,0.000000,0.000000
C9-23,-6.437356,0.000000,0.000000
C9-24,3.062227,0.000000,0.000000
C10-1,-38.304445,0.000000,0.000000
C10-2,-29.073752,0.000000,0.000000
C10-3,-27.559544,0.000000,0.000000
C10-4,-27.389701,0.000000,0.000000
C10-5,-41.183124,0.000000,0.000000
C10-6,-38.606735,0.000000,0.000000
C10-7,-40.266349,0.000000,0.000000
C10-8,-45.460911,0.000000,0.000000
C10-9,-53.753486,0.000000,0.000000
C10-10,-55.919139,0.000000,0.000000
C10-11,-61.706763,0.000000,0.000000
C10-12,-61.370760,0.000000,0.000000
C10-13,-63.619000,0.000000,0.000000
C10-14,-63.924545,0.000000,0.000000
C10-15,-67.519499,0.000000,0.000000
C10-16,-61.522909,0.000000,0.000000
C10-17,-58.460306,0.000000,0.000000
C10-18,-66.454098,0.000000,0.000000
C10-19,-65.684833,0.000000,0.000000
C10-20,-61.881795,0.000000,0.000000
C10-21,-58.023139,0.000000,0.000000
C10-22,-51.902809,0.000000,0.000000
C10-23,-46.435722,0.000000,0.000000
C10-24,-36.483489,0.000000,0.000000
