,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,0.000000,0.000000,0.000000,0.000000,45.577982,0.0
301,2,15.731579,0.000000,0.000000,0.000000,43.715913,687.720338916627
301,3,0.000000,0.000000,0.000000,0.000000,42.895919,0.0
301,4,15.731579,0.000000,0.000000,0.000000,42.708004,671.864338858316
301,5,15.731579,0.000000,0.000000,0.000000,43.340082,681.807923849478
301,6,21.116646,0.000000,0.000000,0.000000,45.885479,968.9474165834339
301,7,19.429035,0.000000,0.000000,0.000000,52.137931,1012.989686226585
301,8,0.000000,0.000000,0.000000,0.000000,55.469155,0.0
301,9,0.000000,0.000000,0.000000,0.000000,58.612464,0.0
301,10,0.000000,0.000000,0.000000,0.000000,61.533692,0.0
301,11,0.000000,0.000000,0.000000,0.000000,63.481177,0.0
301,12,0.000000,0.000000,0.000000,0.000000,64.608668,0.0
301,13,0.000000,0.000000,0.000000,0.000000,64.215755,0.0
301,14,0.000000,0.000000,0.000000,0.000000,64.181588,0.0
301,15,0.000000,0.000000,0.000000,0.000000,63.669092,0.0
301,16,0.000000,0.000000,0.000000,0.000000,62.900348,0.0
301,17,12.455902,0.000000,0.000000,0.000000,62.746599,781.5654879772981
301,18,19.435699,0.000000,0.000000,0.000000,69.169883,1344.365025853217
301,19,19.429035,0.000000,0.000000,0.000000,69.238216,1345.2317220015598
301,20,19.435699,0.000000,0.000000,0.000000,66.761152,1297.549655165248
301,21,12.206793,0.000000,0.000000,0.000000,64.267004,784.494014558172
301,22,15.731579,0.000000,0.000000,0.000000,59.637456,938.191350423024
301,23,15.072312,0.000000,0.000000,0.000000,54.444163,820.5994113148561
301,24,15.731579,0.000000,0.000000,0.000000,49.609617,780.437608995243
302,1,0.000000,0.350557,0.000000,0.000000,40.935780,0.0
302,2,15.731579,0.249710,0.000000,0.000000,39.263366,617.6747440349139
302,3,0.000000,0.394951,0.000000,0.000000,38.526890,0.0
302,4,15.731579,0.388090,0.000000,0.000000,38.358115,603.433716413585
302,5,15.731579,0.388710,0.000000,0.000000,38.925815,612.364533811885
302,6,21.116646,0.368170,0.000000,0.000000,41.211958,870.258328052868
302,7,20.325657,0.401774,0.000000,0.000000,46.827586,951.801451174002
302,8,0.000000,0.410075,0.000000,0.000000,49.819519,0.0
302,9,0.000000,0.417316,0.000000,0.000000,52.642676,0.0
302,10,0.000000,0.420547,0.000000,0.000000,55.266371,0.0
302,11,0.000000,0.426595,0.000000,0.000000,57.015501,0.0
302,12,0.000000,0.436549,0.000000,0.000000,58.028156,0.0
302,13,0.000000,0.428181,0.000000,0.000000,57.675261,0.0
302,14,0.000000,0.427961,0.000000,0.000000,57.644574,0.0
302,15,0.000000,0.426488,0.000000,0.000000,57.184277,0.0
302,16,0.000000,0.423707,0.000000,0.000000,56.493831,0.0
302,17,13.030724,0.420605,0.000000,0.000000,56.355742,734.356119817208
302,18,19.473797,0.432125,0.000000,0.000000,62.124802,1209.8057828131941
302,19,20.325657,0.432292,0.000000,0.000000,62.186175,1263.974863191975
302,20,19.473797,0.427840,0.000000,0.000000,59.961405,1167.676228804785
302,21,12.759976,0.423484,0.000000,0.000000,57.721291,736.522287849016
302,22,15.731579,0.415086,0.000000,0.000000,53.563271,842.634829234909
302,23,15.101857,0.407873,0.000000,0.000000,48.898924,738.4645577018681
302,24,15.731579,0.324438,0.000000,0.000000,44.556786,700.9485989450941
303,1,0.000000,-14.424744,0.000000,0.000000,75.963303,0.0
303,2,15.731579,-10.814865,0.000000,0.000000,72.859855,1146.200564861045
303,3,0.000000,-14.310061,0.000000,0.000000,71.493198,0.0
303,4,15.731579,-15.061312,0.000000,0.000000,71.180006,1119.773887609474
303,5,15.731579,-15.187072,0.000000,0.000000,72.233470,1136.34653974913
303,6,21.116646,-14.721225,0.000000,0.000000,76.475799,1614.9123750501537
303,7,0.000000,-16.412770,0.000000,0.000000,86.896552,0.0
303,8,0.000000,-16.480651,0.000000,0.000000,92.448592,0.0
303,9,0.000000,-16.614575,0.000000,0.000000,97.687441,0.0
303,10,0.000000,-17.152295,0.000000,0.000000,102.556153,0.0
303,11,0.000000,-17.050817,0.000000,0.000000,105.801961,0.0
303,12,0.000000,-16.229841,0.000000,0.000000,107.681114,0.0
303,13,0.000000,-17.094638,0.000000,0.000000,107.026258,0.0
303,14,0.000000,-17.109802,0.000000,0.000000,106.969313,0.0
303,15,0.000000,-17.122546,0.000000,0.000000,106.115153,0.0
303,16,0.000000,-17.209099,0.000000,0.000000,104.833913,0.0
303,17,0.000000,-17.527143,0.000000,0.000000,104.577665,0.0
303,18,18.236546,-18.187867,0.000000,0.000000,115.283138,2102.366249161348
303,19,0.000000,-18.189680,0.000000,0.000000,115.397026,0.0
303,20,18.236546,-17.935997,0.000000,0.000000,111.268586,2029.154686943956
303,21,0.000000,-17.665511,0.000000,0.000000,107.111674,0.0
303,22,15.731579,-17.200498,0.000000,0.000000,99.395761,1563.652266436619
303,23,14.142374,-16.418093,0.000000,0.000000,90.740272,1283.282863485728
303,24,15.731579,-13.924844,0.000000,0.000000,82.682695,1300.729348325405
304,1,0.000000,-1.015232,0.000000,0.000000,31.229358,0.0
304,2,15.731579,-1.182155,0.000000,0.000000,29.953496,471.21578865018404
304,3,0.000000,-0.166812,0.000000,0.000000,29.391648,0.0
304,4,15.731579,-0.587143,0.000000,0.000000,29.262891,460.351481534889
304,5,15.731579,-0.641817,0.000000,0.000000,29.695982,467.164686815578
304,6,21.116646,-0.848250,0.000000,0.000000,31.440051,663.908427188946
304,7,26.474665,-1.112320,0.000000,0.000000,35.724138,945.7845859637702
304,8,0.000000,-1.071127,0.000000,0.000000,38.006643,0.0
304,9,0.000000,-1.070939,0.000000,0.000000,40.160392,0.0
304,10,0.000000,-1.299542,0.000000,0.000000,42.161974,0.0
304,11,0.000000,-1.197313,0.000000,0.000000,43.496362,0.0
304,12,0.000000,-0.716164,0.000000,0.000000,44.268902,0.0
304,13,0.000000,-1.204202,0.000000,0.000000,43.999684,0.0
304,14,0.000000,-1.213404,0.000000,0.000000,43.976273,0.0
304,15,0.000000,-1.232578,0.000000,0.000000,43.625119,0.0
304,16,0.000000,-1.298671,0.000000,0.000000,43.098387,0.0
304,17,16.972837,-1.478374,0.000000,0.000000,42.993040,729.7138600544799
304,18,19.581311,-1.692260,0.000000,0.000000,47.394179,928.040158588669
304,19,26.474665,-1.691648,0.000000,0.000000,47.441000,1255.9845822650002
304,20,19.581311,-1.609784,0.000000,0.000000,45.743752,895.722634218872
304,21,16.463222,-1.519023,0.000000,0.000000,44.034799,724.9546716623779
304,22,15.731579,-1.371066,0.000000,0.000000,40.862702,642.834824666458
304,23,15.185234,-1.060733,0.000000,0.000000,37.304334,566.475041004156
304,24,15.731579,-1.332550,0.000000,0.000000,33.991775,534.744293762725
305,1,0.000000,1.462820,0.000000,0.000000,29.963303,0.0
305,2,15.731579,0.711575,0.000000,0.000000,28.739165,452.112444591535
305,3,0.000000,1.277710,0.000000,0.000000,28.200095,0.0
