,time,charge,discharge,totaldischarge,soc,discharge_offer,maxdischargeoffer,charge_offer,maxchargeoffer,tightdual,socmaxdual,socmindual,chargemindual,dischargemindual,finalsocdual,finalsocMAXdual,finalsocMINdual,cycledual,bindonecyclemaxdual,bindonecyclemindual,node,lmp,profit
313_STORAGE_1,1,20.167584,0.000000,0.000000,17.142446,-50.000000,5000.000000,-43.405427,5000.000000,0.000000,0.000000,0.000000,0.000000,4.791675,76.845141,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.116646,-425.871732003264
313_STORAGE_1,2,18.318423,0.000000,0.000000,32.713106,-50.000000,5000.000000,-43.405427,5000.000000,0.000000,0.000000,0.000000,0.000000,4.791675,76.845141,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.116646,-386.823653769258
313_STORAGE_1,3,283.663598,0.000000,0.000000,273.827164,-50.000000,5000.000000,-43.405427,5000.000000,0.000000,0.000000,0.000000,0.000000,4.791675,76.845141,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.116646,-5990.023782052307
313_STORAGE_1,4,125.830539,0.000000,0.000000,380.783122,-50.000000,5000.000000,-43.405427,5000.000000,0.000000,0.000000,0.000000,0.000000,4.791675,76.845141,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.116646,-2657.118948052194
313_STORAGE_1,5,0.000000,0.000000,0.000000,380.783122,-50.000000,5000.000000,-43.405427,5000.000000,0.000000,0.000000,0.000000,1.615816,3.175859,76.845141,0.000000,0.000000,0.000000,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,6,-0.000000,0.000000,0.000000,380.783122,-50.000000,5000.000000,-43.405427,5000.000000,0.000000,6.218061,0.000000,4.791675,0.000000,76.845141,0.000000,0.000000,0.000000,0.000000,0.000000,303,25.908321,0.0
313_STORAGE_1,7,19.146241,0.000000,0.000000,397.057426,-50.000000,5000.000000,-43.405427,5000.000000,0.000000,0.000000,11.009737,0.000000,5.724384,76.845141,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.401998,-505.49901658951796
313_STORAGE_1,8,87.182738,0.000000,0.000000,471.162753,-50.000000,5000.000000,-43.405427,5000.000000,0.000000,0.000000,0.000000,4.072924,0.000000,76.845141,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.116646,-1841.0070156567479
313_STORAGE_1,9,179.826511,0.000000,0.000000,624.015288,-50.000000,5000.000000,-43.405427,5000.000000,0.004374,0.000000,0.000000,0.000000,6.697210,76.845141,0.000000,0.000000,0.000000,0.000000,0.000000,303,15.731579,-2828.954964090869
313_STORAGE_1,10,152.579903,0.000000,0.000000,753.708205,-50.000000,5000.000000,-43.405427,5000.000000,0.004374,0.000000,0.000000,0.000000,6.697210,76.845141,0.000000,0.000000,0.000000,0.000000,0.000000,303,15.731579,-2400.322797856837
313_STORAGE_1,11,0.000000,0.000000,0.000000,753.708205,-50.000000,5000.000000,-43.405427,5000.000000,0.000000,0.000000,0.000000,4.072924,0.000000,76.845141,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.116646,0.0
313_STORAGE_1,12,0.000000,0.000000,0.000000,753.708205,-50.000000,5000.000000,-43.405427,5000.000000,0.000000,0.000000,0.000000,4.072924,0.000000,76.845141,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.116646,0.0
313_STORAGE_1,13,32.421333,0.000000,0.000000,781.266338,-50.000000,5000.000000,-43.405427,5000.000000,0.000000,0.000000,0.000000,4.072924,0.000000,76.845141,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.116646,-684.6298118091179
313_STORAGE_1,14,139.686661,0.000000,0.000000,900.000000,-50.000000,5000.000000,-43.405427,5000.000000,0.000000,0.000000,0.000000,4.072924,0.000000,76.845141,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.116646,-2949.7137712590056
313_STORAGE_1,15,0.000000,0.000000,0.000000,900.000000,-50.000000,5000.000000,-43.405427,5000.000000,0.005386,1.615816,0.000000,7.304557,0.000000,76.845141,0.000000,0.000000,0.000000,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,16,0.000000,0.000000,0.000000,900.000000,-50.000000,5000.000000,-43.405427,5000.000000,0.000000,4.112679,0.000000,4.315296,0.000000,76.845141,0.000000,0.000000,0.000000,0.000000,0.000000,303,22.732463,0.0
