,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,48.916031,0.000000,0.000000
C1-2,48.424880,0.000000,0.000000
C1-3,49.199547,0.000000,0.000000
C1-4,48.064271,0.000000,0.000000
C1-5,48.185150,0.000000,0.000000
C1-6,48.738697,0.000000,0.000000
C1-7,49.919331,0.000000,0.000000
C1-8,50.822206,0.000000,0.000000
C1-9,52.100815,0.000000,0.000000
C1-10,46.206487,0.000000,0.000000
C1-11,30.081412,0.000000,0.000000
C1-12,26.340321,0.000000,0.000000
C1-13,15.978961,0.000000,0.000000
C1-14,10.056231,0.000000,0.000000
C1-15,16.581251,0.000000,0.000000
C1-16,28.207264,0.000000,0.000000
C1-17,32.054910,0.000000,0.000000
C1-18,43.792848,0.000000,0.000000
C1-19,47.540979,0.000000,0.000000
C1-20,47.161643,0.000000,0.000000
C1-21,47.445009,0.000000,0.000000
C1-22,45.159503,0.000000,0.000000
C1-23,33.333013,0.000000,0.000000
C1-24,24.347075,0.000000,0.000000
C2-1,-131.794126,0.000000,0.000000
C2-2,-130.023848,0.000000,0.000000
C2-3,-121.350560,0.000000,0.000000
C2-4,-128.697091,0.000000,0.000000
C2-5,-129.124221,0.000000,0.000000
C2-6,-131.190378,0.000000,0.000000
C2-7,-135.560726,0.000000,0.000000
C2-8,-137.553282,0.000000,0.000000
C2-9,-137.879673,0.000000,0.000000
C2-10,-125.985332,0.000000,0.000000
C2-11,-92.069008,0.000000,0.000000
C2-12,-76.999936,0.000000,0.000000
C2-13,-51.950467,0.000000,0.000000
C2-14,-38.902942,0.000000,0.000000
C2-15,-52.714983,0.000000,0.000000
C2-16,-77.639872,0.000000,0.000000
C2-17,-89.534073,0.000000,0.000000
C2-18,-118.027256,0.000000,0.000000
C2-19,-127.668455,0.000000,0.000000
C2-20,-126.287804,0.000000,0.000000
C2-21,-123.393046,0.000000,0.000000
C2-22,-116.323109,0.000000,0.000000
C2-23,-89.701095,0.000000,0.000000
C2-24,-68.994038,0.000000,0.000000
C3-1,35.791590,0.000000,0.000000
C3-2,36.671160,0.000000,0.000000
C3-3,28.222577,0.000000,0.000000
C3-4,37.300325,0.000000,0.000000
C3-5,37.078580,0.000000,0.000000
C3-6,36.130983,0.000000,0.000000
C3-7,34.087447,0.000000,0.000000
