,time,charge,discharge,totaldischarge,soc,discharge_offer,maxdischargeoffer,charge_offer,maxchargeoffer,tightdual,socmaxdual,socmindual,chargemindual,dischargemindual,finalsocdual,finalsocMAXdual,finalsocMINdual,cycledual,bindonecyclemaxdual,bindonecyclemindual,node,lmp,profit
313_STORAGE_1,1,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,5000.000000,0.000000,4250.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,2,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,5000.000000,-0.000000,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,3,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,4250.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,4,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,4250.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,5,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,5000.000000,0.000000,4250.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,6,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,5000.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,7,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,5000.000000,0.000000,4250.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,8,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,15.731579,0.000000,-0.000000,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,9,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,4994.443700,2.359737,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,15.731579,0.0
313_STORAGE_1,10,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,5000.000000,0.000000,4253.193182,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,21.287879,0.0
313_STORAGE_1,11,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,5.114119,0.000000,4.637765,4998.555417,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,12,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,4999.972789,3.960300,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,26.401998,0.0
313_STORAGE_1,13,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.415933,0.000000,4253.964381,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,14,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,4999.584067,0.000000,4254.026771,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,26.845141,0.0
313_STORAGE_1,15,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,3.964381,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,26.429209,0.0
