,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,30.893006,0.000000,0.000000
C1-2,22.029279,0.000000,0.000000
C1-3,16.355892,0.000000,0.000000
C1-4,17.065497,0.000000,0.000000
C1-5,25.215022,0.000000,0.000000
C1-6,23.100087,0.000000,0.000000
C1-7,17.870399,0.000000,0.000000
C1-8,15.555379,0.000000,0.000000
C1-9,13.861013,0.000000,0.000000
C1-10,7.615067,0.000000,0.000000
C1-11,6.900186,0.000000,0.000000
C1-12,10.703868,0.000000,0.000000
C1-13,20.737612,0.000000,0.000000
C1-14,27.607876,0.000000,0.000000
C1-15,51.355982,0.000000,0.000000
C1-16,41.472239,0.000000,0.000000
C1-17,28.594385,0.000000,0.000000
C1-18,45.797321,0.000000,0.000000
C1-19,47.498123,0.000000,0.000000
C1-20,51.625198,0.000000,0.000000
C1-21,51.194476,0.000000,0.000000
C1-22,47.335228,0.000000,0.000000
C1-23,47.037123,0.000000,0.000000
C1-24,49.176617,0.000000,0.000000
C2-1,-83.667415,0.000000,0.000000
C2-2,-64.694623,0.000000,0.000000
C2-3,-51.719721,0.000000,0.000000
C2-4,-54.899075,0.000000,0.000000
C2-5,-71.386269,0.000000,0.000000
C2-6,-65.723895,0.000000,0.000000
C2-7,-54.949417,0.000000,0.000000
C2-8,-46.645127,0.000000,0.000000
C2-9,-40.899596,0.000000,0.000000
C2-10,-28.237667,0.000000,0.000000
C2-11,-33.783038,0.000000,0.000000
C2-12,-35.757595,0.000000,0.000000
C2-13,-57.186755,0.000000,0.000000
C2-14,-82.262957,0.000000,0.000000
C2-15,-126.665954,0.000000,0.000000
C2-16,-107.974877,0.000000,0.000000
C2-17,-81.940694,0.000000,0.000000
C2-18,-120.105533,0.000000,0.000000
C2-19,-130.137350,0.000000,0.000000
C2-20,-141.010925,0.000000,0.000000
C2-21,-139.983971,0.000000,0.000000
C2-22,-131.400714,0.000000,0.000000
C2-23,-129.565038,0.000000,0.000000
C2-24,-132.984711,0.000000,0.000000
C3-1,6.735180,0.000000,0.000000
C3-2,-1.597231,0.000000,0.000000
C3-3,-7.463757,0.000000,0.000000
C3-4,-4.105682,0.000000,0.000000
C3-5,4.385736,0.000000,0.000000
C3-6,-0.101279,0.000000,0.000000
C3-7,-7.081058,0.000000,0.000000
C3-8,-13.907405,0.000000,0.000000
C3-9,-21.153128,0.000000,0.000000
C3-10,-30.814919,0.000000,0.000000
C3-11,-26.587569,0.000000,0.000000
C3-12,-29.287937,0.000000,0.000000
C3-13,-17.841271,0.000000,0.000000
C3-14,1.270077,0.000000,0.000000
C3-15,22.847460,0.000000,0.000000
C3-16,14.877203,0.000000,0.000000
C3-17,1.071713,0.000000,0.000000
C3-18,15.832413,0.000000,0.000000
C3-19,22.472190,0.000000,0.000000
C3-20,30.602431,0.000000,0.000000
C3-21,31.697436,0.000000,0.000000
C3-22,29.399241,0.000000,0.000000
C3-23,31.209978,0.000000,0.000000
C3-24,35.479716,0.000000,0.000000
C4-1,-16.803777,0.000000,0.000000
C4-2,-18.731469,0.000000,0.000000
C4-3,-19.310911,0.000000,0.000000
C4-4,-19.993842,0.000000,0.000000
C4-5,-17.050126,0.000000,0.000000
C4-6,-17.128199,0.000000,0.000000
C4-7,-19.270932,0.000000,0.000000
C4-8,-17.860797,0.000000,0.000000
C4-9,-17.802965,0.000000,0.000000
C4-10,-20.946355,0.000000,0.000000
C4-11,-26.569650,0.000000,0.000000
C4-12,-21.556799,0.000000,0.000000
C4-13,-18.745123,0.000000,0.000000
C4-14,-23.681865,0.000000,0.000000
C4-15,-12.476452,0.000000,0.000000
C4-16,-16.642544,0.000000,0.000000
C4-17,-21.424588,0.000000,0.000000
C4-18,-19.397390,0.000000,0.000000
C4-19,-23.788458,0.000000,0.000000
C4-20,-23.645904,0.000000,0.000000
C4-21,-23.203475,0.000000,0.000000
C4-22,-23.344224,0.000000,0.000000
C4-23,-21.638757,0.000000,0.000000
C4-24,-19.391352,0.000000,0.000000
C5-1,6.346736,0.000000,0.000000
C5-2,1.006398,0.000000,0.000000
C5-3,-2.798714,0.000000,0.000000
C5-4,-0.608330,0.000000,0.000000
C5-5,4.735570,0.000000,0.000000
C5-6,1.854829,0.000000,0.000000
C5-7,-2.520960,0.000000,0.000000
C5-8,-6.997933,0.000000,0.000000
C5-9,-11.619319,0.000000,0.000000
C5-10,-17.637092,0.000000,0.000000
C5-11,-14.554523,0.000000,0.000000
C5-12,-16.546199,0.000000,0.000000
C5-13,-9.278100,0.000000,0.000000
C5-14,3.342098,0.000000,0.000000
C5-15,16.713326,0.000000,0.000000
C5-16,11.747494,0.000000,0.000000
C5-17,3.068641,0.000000,0.000000
C5-18,12.674780,0.000000,0.000000
C5-19,17.247670,0.000000,0.000000
C5-20,22.474993,0.000000,0.000000
C5-21,23.120823,0.000000,0.000000
C5-22,21.581065,0.000000,0.000000
C5-23,22.584769,0.000000,0.000000
C5-24,25.161927,0.000000,0.000000
C6-1,91.797754,0.000000,0.000000
C6-2,54.436030,0.000000,0.000000
C6-3,30.497152,0.000000,0.000000
C6-4,35.424233,0.000000,0.000000
C6-5,71.422936,0.000000,0.000000
C6-6,60.419924,0.000000,0.000000
C6-7,35.681622,0.000000,0.000000
C6-8,22.920917,0.000000,0.000000
C6-9,10.733432,0.000000,0.000000
C6-10,-20.497888,0.000000,0.000000
C6-11,-22.882590,0.000000,0.000000
C6-12,-9.724878,0.000000,0.000000
C6-13,34.940453,0.000000,0.000000
C6-14,71.170651,0.000000,0.000000
C6-15,175.000000,0.000000,0.000000
C6-16,133.110020,0.000000,0.000000
C6-17,75.762009,0.000000,0.000000
C6-18,145.678074,0.000000,0.000000
C6-19,154.129095,0.000000,0.000000
C6-20,175.000000,0.000000,36.682861
C6-21,175.000000,0.000000,36.682861
C6-22,160.506319,0.000000,0.000000
C6-23,162.532031,0.000000,0.000000
C6-24,175.000000,0.000000,0.000000
C7-1,-56.697216,0.000000,0.000000
C7-2,-98.401612,0.000000,0.000000
C7-3,-121.096183,0.000000,0.000000
C7-4,-106.822074,0.000000,0.000000
C7-5,-57.851723,0.000000,0.000000
C7-6,-89.052298,0.000000,0.000000
C7-7,-133.131166,0.000000,0.000000
C7-8,-45.261298,0.000000,0.000000
C7-9,-41.052547,0.000000,0.000000
C7-10,-80.568978,0.000000,0.000000
C7-11,-100.017816,0.000000,0.000000
C7-12,-107.702157,0.000000,0.000000
C7-13,-51.411232,0.000000,0.000000
C7-14,102.191384,0.000000,0.000000
C7-15,107.496526,0.000000,0.000000
C7-16,58.872711,0.000000,0.000000
C7-17,-83.327032,0.000000,0.000000
C7-18,-36.043272,0.000000,0.000000
C7-19,11.055163,0.000000,0.000000
C7-20,56.836970,0.000000,0.000000
C7-21,22.281038,0.000000,0.000000
C7-22,5.351129,0.000000,0.000000
C7-23,33.296383,0.000000,0.000000
