,hour,dispatch,dual,offer,lmp,capacity
320_PV_1-1,1,35.350000,15.731579,0.000000,15.731579,35.350000
314_PV_1-1,1,25.875000,15.731579,0.000000,15.731579,25.875000
314_PV_2-1,1,20.616667,15.731579,0.000000,15.731579,20.616667
313_PV_1-1,1,62.591667,15.731579,0.000000,15.731579,62.591667
314_PV_3-1,1,51.416667,15.731579,0.000000,15.731579,51.416667
314_PV_4-1,1,19.525000,15.731579,0.000000,15.731579,19.525000
313_PV_2-1,1,59.816667,15.731579,0.000000,15.731579,59.816667
310_PV_1-1,1,31.316667,15.731579,0.000000,15.731579,31.316667
324_PV_1-1,1,21.900000,15.731579,0.000000,15.731579,21.900000
312_PV_1-1,1,52.133333,15.731579,0.000000,15.731579,52.133333
310_PV_2-1,1,25.083333,15.731579,0.000000,15.731579,25.083333
324_PV_2-1,1,11.550000,15.731579,0.000000,15.731579,11.550000
324_PV_3-1,1,22.700000,15.731579,0.000000,15.731579,22.700000
319_PV_1-1,1,140.225000,15.731579,0.000000,15.731579,140.225000
308_RTPV_1-1,1,36.625000,15.731579,0.000000,15.731579,36.625000
313_RTPV_1-1,1,29.516667,15.731579,0.000000,15.731579,29.516667
313_RTPV_2-1,1,33.283333,15.731579,0.000000,15.731579,33.283333
313_RTPV_3-1,1,36.066667,15.731579,0.000000,15.731579,36.066667
313_RTPV_4-1,1,22.250000,15.731579,0.000000,15.731579,22.250000
313_RTPV_5-1,1,27.850000,15.731579,0.000000,15.731579,27.850000
313_RTPV_6-1,1,18.575000,15.731579,0.000000,15.731579,18.575000
313_RTPV_7-1,1,21.875000,15.731579,0.000000,15.731579,21.875000
313_RTPV_8-1,1,32.766667,15.731579,0.000000,15.731579,32.766667
313_RTPV_9-1,1,35.708333,15.731579,0.000000,15.731579,35.708333
313_RTPV_10-1,1,43.958333,15.731579,0.000000,15.731579,43.958333
313_RTPV_11-1,1,28.541667,15.731579,0.000000,15.731579,28.541667
