,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,26.429209,0.000000,0.000000,0.000000,64.651935,1708.6995023694149
301,2,26.401998,0.000000,0.000000,0.000000,60.351526,1593.400868748948
301,3,26.429209,0.000000,0.000000,0.000000,55.206040,1459.05196922236
301,4,25.908321,0.000000,0.000000,0.000000,49.889273,1292.5472993406331
301,5,26.401998,0.000000,0.000000,0.000000,46.574080,1229.64876701184
301,6,26.429209,0.000000,0.000000,0.000000,44.757943,1182.917029957087
301,7,26.401998,0.000000,0.000000,0.000000,43.466971,1147.614881408058
301,8,26.401998,0.000000,0.000000,0.000000,42.858289,1131.544460461422
301,9,22.732463,0.000000,0.000000,0.000000,43.148474,980.871088711462
301,10,22.732463,0.000000,0.000000,0.000000,45.709185,1039.082356772655
301,11,23.334982,0.000000,0.000000,0.000000,50.723026,1183.6208986955319
301,12,22.732463,0.000000,0.000000,0.000000,53.762189,1222.146972241507
301,13,0.000000,0.000000,0.000000,0.000000,57.855930,0.0
301,14,0.000000,0.000000,0.000000,0.000000,60.948883,0.0
301,15,0.000000,0.000000,0.000000,0.000000,63.547814,0.0
301,16,0.000000,0.000000,0.000000,0.000000,65.329978,0.0
301,17,0.000000,0.000000,0.000000,0.000000,66.092954,0.0
301,18,0.000000,0.000000,0.000000,0.000000,67.232463,0.0
301,19,0.000000,0.000000,0.000000,0.000000,67.180088,0.0
301,20,0.000000,0.000000,0.000000,0.000000,65.773042,0.0
301,21,25.013690,0.000000,0.000000,0.000000,65.380937,1635.4184900275302
301,22,23.217425,0.000000,0.000000,0.000000,71.188896,1652.8228537128
301,23,23.217425,0.000000,0.000000,0.000000,70.120164,1628.0096486577
301,24,22.085094,0.000000,0.000000,0.000000,66.909720,1477.70745571368
302,1,26.429209,0.380576,0.000000,0.000000,58.067015,1534.665275441135
302,2,26.401998,0.362243,0.000000,0.000000,54.204611,1431.110031212778
302,3,26.429209,0.267378,0.000000,0.000000,49.583202,1310.444808547218
302,4,25.908321,0.195298,0.000000,0.000000,44.807958,1160.898959218518
302,5,26.401998,0.160232,0.000000,0.000000,41.830424,1104.406770787152
302,6,26.429209,0.140677,0.000000,0.000000,40.199263,1062.434723472967
302,7,26.401998,0.140122,0.000000,0.000000,39.039779,1030.728167078442
302,8,26.401998,0.137109,0.000000,0.000000,38.493093,1016.294564399814
302,9,22.732463,0.138865,0.000000,0.000000,38.753722,880.9675514772861
302,10,22.732463,0.152805,0.000000,0.000000,41.053620,933.2498976660601
302,11,23.334982,0.181552,0.000000,0.000000,45.556792,1063.066921297744
302,12,22.732463,0.186037,0.000000,0.000000,48.286411,1097.669051460293
302,13,0.000000,0.197042,0.000000,0.000000,51.963196,0.0
302,14,0.000000,0.175134,0.000000,0.000000,54.741127,0.0
302,15,0.000000,0.152891,0.000000,0.000000,57.075351,0.0
302,16,0.000000,0.222626,0.000000,0.000000,58.675999,0.0
302,17,0.000000,0.228273,0.000000,0.000000,59.361264,0.0
302,18,0.000000,0.134728,0.000000,0.000000,60.384712,0.0
302,19,0.000000,0.254439,0.000000,0.000000,60.337672,0.0
302,20,0.000000,0.370250,0.000000,0.000000,59.073936,0.0
302,21,26.121654,0.324960,0.000000,0.000000,58.721768,1533.909705964272
302,22,24.288876,0.446073,0.000000,0.000000,63.938175,1552.9864042412999
302,23,24.288876,0.443960,0.000000,0.000000,62.978295,1529.6719979464199
302,24,23.104290,0.437328,0.000000,0.000000,60.094841,1388.44863396789
303,1,26.429209,-14.917491,0.000000,0.000000,107.753224,2847.832477519816
303,2,26.401998,-14.062777,0.000000,0.000000,100.585876,2655.668096980248
303,3,26.429209,-10.844333,0.000000,0.000000,92.010066,2431.753264417794
303,4,25.908321,-8.340972,0.000000,0.000000,83.148789,2154.2455161732687
303,5,26.401998,-7.095546,0.000000,0.000000,77.623467,2049.4146204870663
303,6,26.429209,-6.547603,0.000000,0.000000,74.596571,1971.528365642339
303,7,26.401998,-6.515769,0.000000,0.000000,72.444951,1912.691451412098
303,8,26.401998,-6.465335,0.000000,0.000000,71.430481,1885.907416501038
303,9,22.732463,-6.511849,0.000000,0.000000,71.914124,1634.785163007412
303,10,22.732463,-6.904320,0.000000,0.000000,76.181975,1731.8039279544248
303,11,23.334982,-7.982983,0.000000,0.000000,84.538377,1972.701505604214
303,12,22.732463,-8.098471,0.000000,0.000000,89.603649,2036.911635557487
303,13,0.000000,-8.146263,0.000000,0.000000,96.426549,0.0
303,14,0.000000,-7.493916,0.000000,0.000000,101.581472,0.0
303,15,0.000000,-7.609129,0.000000,0.000000,105.913023,0.0
303,16,0.000000,-9.868704,0.000000,0.000000,108.883297,0.0
303,17,0.000000,-9.374547,0.000000,0.000000,110.154923,0.0
303,18,0.000000,-7.200523,0.000000,0.000000,112.054105,0.0
303,19,0.000000,-10.626011,0.000000,0.000000,111.966813,0.0
303,20,0.000000,-14.010866,0.000000,0.000000,109.621736,0.0
303,21,1.005075,-15.642048,0.000000,0.000000,108.968229,109.52124276217499
303,22,0.000000,-17.175761,0.000000,0.000000,118.648160,0.0
303,23,0.000000,-17.088989,0.000000,0.000000,116.866939,0.0
303,24,0.000000,-16.862023,0.000000,0.000000,111.516200,0.0
304,1,26.429209,-1.115968,0.000000,0.000000,44.298548,1170.775583488532
304,2,26.401998,-0.981222,0.000000,0.000000,41.351971,1091.774655638058
304,3,26.429209,-1.139771,0.000000,0.000000,37.826360,999.72077414924
304,4,25.908321,-1.206770,0.000000,0.000000,34.183391,885.634266896511
304,5,26.401998,-1.212677,0.000000,0.000000,31.911870,842.53712791626
304,6,26.429209,-1.276994,0.000000,0.000000,30.667479,810.517211994111
304,7,26.401998,-1.246021,0.000000,0.000000,29.782924,786.328699882152
304,8,26.401998,-1.263001,0.000000,0.000000,29.365865,775.31750899827
304,9,22.732463,-1.258788,0.000000,0.000000,29.564695,672.0783351937849
304,10,22.732463,-1.240357,0.000000,0.000000,31.319257,711.963850939991
304,11,23.334982,-1.307593,0.000000,0.000000,34.754666,810.9995055260121
304,12,22.732463,-1.343859,0.000000,0.000000,36.837056,837.3970125489279
304,13,0.000000,-1.265091,0.000000,0.000000,39.642026,0.0
304,14,0.000000,-1.429244,0.000000,0.000000,41.761272,0.0
304,15,0.000000,-1.904532,0.000000,0.000000,43.542021,0.0
304,16,0.000000,-1.702132,0.000000,0.000000,44.763133,0.0
304,17,0.000000,-1.420067,0.000000,0.000000,45.285913,0.0
304,18,0.000000,-2.118631,0.000000,0.000000,46.066688,0.0
304,19,0.000000,-1.519062,0.000000,0.000000,46.030801,0.0
304,20,0.000000,-0.939651,0.000000,0.000000,45.066714,0.0
304,21,33.720032,-0.425908,0.000000,0.000000,44.798050,1510.5916795376002
304,22,31.636854,-1.084222,0.000000,0.000000,48.777577,1543.169082022758
304,23,31.636854,-1.061456,0.000000,0.000000,48.045297,1520.002046575638
304,24,30.093902,-1.011725,0.000000,0.000000,45.845549,1379.671458742198
305,1,26.429209,0.550136,0.000000,0.000000,42.502661,1123.311710625149
305,2,26.401998,0.526564,0.000000,0.000000,39.675540,1047.5135277289198
305,3,26.429209,0.056593,0.000000,0.000000,36.292859,959.191555718531
305,4,25.908321,-0.255308,0.000000,0.000000,32.797578,849.730178846538
305,5,26.401998,-0.382665,0.000000,0.000000,30.618145,808.3802030537099
305,6,26.429209,-0.396223,0.000000,0.000000,29.424203,777.658410745427
305,7,26.401998,-0.342807,0.000000,0.000000,28.575509,754.4505314669819
305,8,26.401998,-0.315186,0.000000,0.000000,28.175357,743.885719163286
305,9,22.732463,-0.321244,0.000000,0.000000,28.366127,644.8319324808009
305,10,22.732463,-0.372487,0.000000,0.000000,30.049557,683.100442668891
305,11,23.334982,-0.356668,0.000000,0.000000,33.345693,778.1211459325259
305,12,22.732463,-0.485387,0.000000,0.000000,35.343662,803.448488699506
305,13,0.000000,-0.732319,0.000000,0.000000,38.034917,0.0
305,14,0.000000,-1.012734,0.000000,0.000000,40.068247,0.0
305,15,0.000000,-0.957846,0.000000,0.000000,41.776804,0.0
305,16,0.000000,-0.557774,0.000000,0.000000,42.948411,0.0
305,17,0.000000,-0.828288,0.000000,0.000000,43.449997,0.0
305,18,0.000000,-1.191625,0.000000,0.000000,44.199119,0.0
305,19,0.000000,-0.535950,0.000000,0.000000,44.164688,0.0
305,20,0.000000,0.192999,0.000000,0.000000,43.239685,0.0
305,21,27.958484,1.144183,0.000000,0.000000,42.981913,1201.709126899892
305,22,26.065175,0.743847,0.000000,0.000000,46.800107,1219.852978973725
305,23,26.065175,0.773768,0.000000,0.000000,46.097515,1201.539795540125
305,24,24.793958,0.878957,0.000000,0.000000,43.986946,1090.6104916722682
306,1,26.429209,1.474562,0.000000,0.000000,81.413547,2151.695649094323
306,2,26.401998,1.398274,0.000000,0.000000,75.998217,2006.5047732375658
306,3,26.429209,0.607072,0.000000,0.000000,69.518717,1837.3247010048528
306,4,25.908321,0.064101,0.000000,0.000000,62.823529,1627.652155684809
306,5,26.401998,-0.168400,0.000000,0.000000,58.648841,1548.4465827843178
306,6,26.429209,-0.209031,0.000000,0.000000,56.361854,1489.5992189934861
306,7,26.401998,-0.137305,0.000000,0.000000,54.736185,1445.1446468976299
306,8,26.401998,-0.100387,0.000000,0.000000,53.969697,1424.9078322546059
306,9,22.732463,-0.106928,0.000000,0.000000,54.335116,1235.171014070708
306,10,22.732463,-0.161602,0.000000,0.000000,57.559715,1308.474091528045
306,11,23.334982,-0.088896,0.000000,0.000000,63.873440,1490.48557267808
306,12,22.732463,-0.261572,0.000000,0.000000,67.700535,1538.999906967705
306,13,0.000000,-0.606568,0.000000,0.000000,72.855615,0.0
306,14,0.000000,-1.019468,0.000000,0.000000,76.750446,0.0
306,15,0.000000,-0.918624,0.000000,0.000000,80.023173,0.0
306,16,0.000000,-0.269176,0.000000,0.000000,82.267380,0.0
306,17,0.000000,-0.679352,0.000000,0.000000,83.228164,0.0
306,18,0.000000,-1.253710,0.000000,0.000000,84.663102,0.0
306,19,0.000000,-0.212542,0.000000,0.000000,84.597148,0.0
306,20,0.000000,0.929693,0.000000,0.000000,82.825312,0.0
306,21,29.829272,2.384711,0.000000,0.000000,82.331551,2455.8902289608723
