,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,22.732463,0.000000,5000.000000,0.000000,43.305916,984.450133151108
301,2,21.116646,0.000000,0.000000,5000.000000,41.768428,882.0091080524879
301,3,21.116646,0.000000,0.000000,5000.000000,40.794685,861.44692182651
301,4,22.732463,0.000000,5000.000000,0.000000,40.658020,924.25693530326
301,5,22.732463,0.000000,5000.000000,0.000000,41.050933,933.1888155379789
301,6,25.908321,0.000000,0.000000,5000.000000,44.177159,1144.556016240039
301,7,26.429209,0.000000,0.000000,5000.000000,50.480860,1334.16919943974
301,8,21.116646,0.000000,0.000000,5000.000000,54.580829,1152.564044379534
301,9,15.731579,0.000000,0.000000,5000.000000,58.253717,916.4229510291431
301,10,-0.000000,0.000000,0.000000,5000.000000,61.397026,-0.0
301,11,-0.000000,0.000000,0.000000,5000.000000,63.583676,-0.0
301,12,-0.000000,0.000000,0.000000,5000.000000,64.745334,-0.0
301,13,-0.000000,0.000000,0.000000,5000.000000,65.326163,-0.0
301,14,15.731579,0.000000,0.000000,5000.000000,66.163239,1040.852221224381
301,15,22.732463,0.000000,0.000000,5000.000000,66.539070,1512.59694682941
301,16,23.334982,0.000000,0.000000,5000.000000,65.428662,1526.776650054084
301,17,26.429209,0.000000,0.000000,5000.000000,64.540335,1705.750002645015
301,18,27.692555,0.000000,0.000000,5000.000000,67.359064,1865.34458456852
301,19,27.276623,0.000000,0.000000,5000.000000,68.964885,1881.129168383355
301,20,26.845141,0.000000,0.000000,5000.000000,66.402404,1782.5818981189643
301,21,26.845141,0.000000,0.000000,5000.000000,63.190762,1696.364915787442
301,22,26.845141,0.000000,0.000000,5000.000000,58.971212,1583.0905010808922
301,23,26.755735,0.000000,0.000000,5000.000000,53.777918,1438.86772285973
301,24,26.429209,0.000000,0.000000,5000.000000,48.738374,1288.116672766166
302,1,22.732463,0.151647,5000.000000,0.000000,38.895128,884.182058140264
302,2,21.116646,0.165429,0.000000,5000.000000,37.514236,792.1748415724559
302,3,21.116646,0.160519,0.000000,5000.000000,36.639671,773.706962063466
302,4,22.732463,0.147428,5000.000000,0.000000,36.516925,830.1196464362749
302,5,22.732463,0.145200,5000.000000,0.000000,36.869820,838.1418189666599
302,6,25.908321,0.148265,0.000000,5000.000000,39.677634,1027.980878192514
302,7,26.429209,0.175243,0.000000,5000.000000,45.339291,1198.2815977508192
302,8,21.116646,0.117173,0.000000,5000.000000,49.021670,1035.17325171882
302,9,15.731579,0.107034,0.000000,5000.000000,52.320468,823.083575658972
302,10,-0.000000,0.103287,0.000000,5000.000000,55.143625,-0.0
302,11,-0.000000,0.081395,0.000000,5000.000000,57.107561,-0.0
302,12,-0.000000,0.087322,0.000000,5000.000000,58.150902,-0.0
302,13,-0.000000,0.080219,0.000000,5000.000000,58.672572,-0.0
302,14,15.731579,0.092470,0.000000,5000.000000,59.424391,934.839501543389
302,15,22.732463,0.084081,0.000000,5000.000000,59.761942,1358.5361353231458
302,16,23.334982,0.118435,0.000000,5000.000000,58.764631,1371.2716066216421
302,17,26.429209,0.149216,0.000000,5000.000000,57.966783,1532.0162229646469
302,18,27.692555,0.174015,0.000000,5000.000000,60.498418,1675.35576787799
