,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,49.722830,0.000000,0.000000
C1-2,25.220873,0.000000,0.000000
C1-3,48.448597,0.000000,0.000000
C1-4,31.603217,0.000000,0.000000
C1-5,10.840486,0.000000,0.000000
C1-6,8.764572,0.000000,0.000000
C1-7,19.416608,0.000000,0.000000
C1-8,6.977549,0.000000,0.000000
C1-9,13.307275,0.000000,0.000000
C1-10,21.870436,0.000000,0.000000
C1-11,39.720316,0.000000,0.000000
C1-12,50.487860,0.000000,0.000000
C1-13,45.364646,0.000000,0.000000
C1-14,42.695759,0.000000,0.000000
C1-15,42.340589,0.000000,0.000000
C1-16,40.007910,0.000000,0.000000
C1-17,31.808246,0.000000,0.000000
C1-18,32.414166,0.000000,0.000000
C1-19,26.884244,0.000000,0.000000
C1-20,18.991448,0.000000,0.000000
C1-21,19.091844,0.000000,0.000000
C1-22,18.373748,0.000000,0.000000
C1-23,22.096787,0.000000,0.000000
C1-24,20.558972,0.000000,0.000000
C2-1,-122.744280,0.000000,0.000000
C2-2,-81.367413,0.000000,0.000000
C2-3,-124.370418,0.000000,0.000000
C2-4,-93.584512,0.000000,0.000000
C2-5,-43.956629,0.000000,0.000000
C2-6,-33.783547,0.000000,0.000000
C2-7,-51.923301,0.000000,0.000000
C2-8,-28.403279,0.000000,0.000000
C2-9,-40.345264,0.000000,0.000000
C2-10,-60.388125,0.000000,0.000000
C2-11,-101.800197,0.000000,0.000000
C2-12,-125.910468,0.000000,0.000000
C2-13,-117.400999,0.000000,0.000000
C2-14,-111.765724,0.000000,0.000000
C2-15,-108.316633,0.000000,0.000000
C2-16,-102.402960,0.000000,0.000000
C2-17,-85.454679,0.000000,0.000000
C2-18,-88.952375,0.000000,0.000000
C2-19,-78.045264,0.000000,0.000000
C2-20,-62.277433,0.000000,0.000000
C2-21,-62.223175,0.000000,0.000000
C2-22,-60.432478,0.000000,0.000000
C2-23,-66.816937,0.000000,0.000000
C2-24,-61.211435,0.000000,0.000000
C3-1,26.982223,0.000000,0.000000
C3-2,11.883965,0.000000,0.000000
