timepoint,Storage_Index,discharge_offer,charge_offer,soc,charge,discharge
1,313_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
1,303_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
2,313_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
2,303_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
3,313_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
3,303_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
4,313_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
4,303_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
5,313_STORAGE_1,5000.0,5000.0,42.5,50.0,0.0
5,303_STORAGE_1,5000.0,5000.0,42.5,50.0,0.0
6,313_STORAGE_1,5000.0,5000.0,0.0,0.0,42.5
6,303_STORAGE_1,5000.0,5000.0,0.0,0.0,42.5
7,313_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
7,303_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
8,313_STORAGE_1,5000.0,5000.0,33.589327000000004,39.516856,0.0
8,303_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
9,313_STORAGE_1,5000.0,5000.0,0.0,0.0,33.589327000000004
9,303_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
10,313_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
10,303_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
11,313_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
11,303_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
12,313_STORAGE_1,5000.0,5000.0,42.5,50.0,0.0
12,303_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
13,313_STORAGE_1,5000.0,5000.0,0.0,0.0,42.5
13,303_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
14,313_STORAGE_1,5000.0,5000.0,15.609744000000001,18.364404999999998,0.0
14,303_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
15,313_STORAGE_1,5000.0,5000.0,0.0,18.589326999999997,31.410673
15,303_STORAGE_1,5000.0,5000.0,0.0,27.027027,22.972973
16,313_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
16,303_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
17,313_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
17,303_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
18,313_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
18,303_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
19,313_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
19,303_STORAGE_1,5000.0,5000.0,3.512776,4.132678,0.0
20,313_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
20,303_STORAGE_1,5000.0,5000.0,0.0,0.0,3.512776
21,313_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
21,303_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
22,313_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
22,303_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
23,313_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
23,303_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
24,313_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
24,303_STORAGE_1,5000.0,5000.0,0.0,0.0,0.0
