,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,18.497621,0.000000,0.000000
C1-2,18.044939,0.000000,0.000000
C1-3,18.895944,0.000000,0.000000
C1-4,18.748794,0.000000,0.000000
C1-5,17.682934,0.000000,0.000000
C1-6,18.594750,0.000000,0.000000
C1-7,37.106781,0.000000,0.000000
C1-8,14.080078,0.000000,0.000000
C1-9,14.531170,0.000000,0.000000
C1-10,7.543688,0.000000,0.000000
C1-11,6.701325,0.000000,0.000000
C1-12,3.501027,0.000000,0.000000
C1-13,1.668516,0.000000,0.000000
C1-14,6.872523,0.000000,0.000000
C1-15,6.982701,0.000000,0.000000
C1-16,14.337247,0.000000,0.000000
C1-17,28.683471,0.000000,0.000000
C1-18,30.662936,0.000000,0.000000
C1-19,29.402668,0.000000,0.000000
C1-20,29.521869,0.000000,0.000000
C1-21,25.633917,0.000000,0.000000
C1-22,26.900108,0.000000,0.000000
C1-23,24.873802,0.000000,0.000000
C1-24,21.736322,0.000000,0.000000
C2-1,-57.701554,0.000000,0.000000
C2-2,-55.079942,0.000000,0.000000
C2-3,-55.470636,0.000000,0.000000
C2-4,-54.706506,0.000000,0.000000
C2-5,-52.648902,0.000000,0.000000
C2-6,-56.033721,0.000000,0.000000
C2-7,-23.426281,0.000000,0.000000
C2-8,-45.629881,0.000000,0.000000
C2-9,-48.007721,0.000000,0.000000
C2-10,-33.624404,0.000000,0.000000
C2-11,-37.243389,0.000000,0.000000
C2-12,-27.824981,0.000000,0.000000
C2-13,-20.966840,0.000000,0.000000
C2-14,-32.064673,0.000000,0.000000
C2-15,-32.510714,0.000000,0.000000
C2-16,-48.432636,0.000000,0.000000
C2-17,-81.587914,0.000000,0.000000
C2-18,-90.432033,0.000000,0.000000
C2-19,-88.374430,0.000000,0.000000
C2-20,-87.271568,0.000000,0.000000
C2-21,-76.896481,0.000000,0.000000
C2-22,-77.582442,0.000000,0.000000
C2-23,-71.252469,0.000000,0.000000
C2-24,-62.844559,0.000000,0.000000
C3-1,-6.544881,0.000000,0.000000
C3-2,-7.005490,0.000000,0.000000
C3-3,-6.389560,0.000000,0.000000
C3-4,-6.630709,0.000000,0.000000
C3-5,-8.134950,0.000000,0.000000
C3-6,-8.121927,0.000000,0.000000
C3-7,22.676983,0.000000,0.000000
C3-8,-23.577688,0.000000,0.000000
C3-9,-25.170080,0.000000,0.000000
C3-10,-35.282144,0.000000,0.000000
C3-11,-33.246611,0.000000,0.000000
C3-12,-41.155957,0.000000,0.000000
C3-13,-46.642834,0.000000,0.000000
C3-14,-40.902757,0.000000,0.000000
C3-15,-40.430229,0.000000,0.000000
C3-16,-30.462029,0.000000,0.000000
C3-17,-10.388819,0.000000,0.000000
C3-18,-8.922457,0.000000,0.000000
C3-19,-11.616026,0.000000,0.000000
C3-20,-10.087694,0.000000,0.000000
C3-21,-11.449869,0.000000,0.000000
C3-22,-7.725132,0.000000,0.000000
C3-23,-6.835506,0.000000,0.000000
C3-24,-7.032224,0.000000,0.000000
C4-1,-20.521638,0.000000,0.000000
C4-2,-19.022041,0.000000,0.000000
C4-3,-17.497822,0.000000,0.000000
C4-4,-17.122498,0.000000,0.000000
C4-5,-17.717457,0.000000,0.000000
C4-6,-19.157899,0.000000,0.000000
C4-7,6.400361,0.000000,0.000000
C4-8,-22.663087,0.000000,0.000000
C4-9,-24.522642,0.000000,0.000000
C4-10,-27.625374,0.000000,0.000000
C4-11,-32.266797,0.000000,0.000000
C4-12,-31.881563,0.000000,0.000000
C4-13,-30.512422,0.000000,0.000000
C4-14,-29.095092,0.000000,0.000000
C4-15,-29.168940,0.000000,0.000000
C4-16,-26.860481,0.000000,0.000000
C4-17,-24.216193,0.000000,0.000000
C4-18,-28.382964,0.000000,0.000000
C4-19,-29.716350,0.000000,0.000000
C4-20,-27.959207,0.000000,0.000000
C4-21,-26.143752,0.000000,0.000000
C4-22,-23.165285,0.000000,0.000000
C4-23,-20.858443,0.000000,0.000000
C4-24,-19.097793,0.000000,0.000000
C5-1,-2.069953,0.000000,0.000000
