,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,39.799801,0.000000,0.000000
C1-2,35.290120,0.000000,0.000000
C1-3,30.561630,0.000000,0.000000
C1-4,48.011770,0.000000,0.000000
C1-5,29.381359,0.000000,0.000000
C1-6,49.931295,0.000000,0.000000
C1-7,31.708417,0.000000,0.000000
C1-8,48.747184,0.000000,0.000000
C1-9,28.431377,0.000000,0.000000
C1-10,21.965474,0.000000,0.000000
C1-11,15.990622,0.000000,0.000000
C1-12,3.963948,0.000000,0.000000
C1-13,14.842692,0.000000,0.000000
C1-14,21.975789,0.000000,0.000000
C1-15,28.188662,0.000000,0.000000
C1-16,42.975360,0.000000,0.000000
C1-17,54.096181,0.000000,0.000000
C1-18,51.930908,0.000000,0.000000
C1-19,52.421264,0.000000,0.000000
C1-20,46.268896,0.000000,0.000000
C1-21,38.638515,0.000000,0.000000
C1-22,32.571765,0.000000,0.000000
C1-23,21.930066,0.000000,0.000000
C1-24,18.040543,0.000000,0.000000
C2-1,-112.735778,0.000000,0.000000
C2-2,-102.628736,0.000000,0.000000
C2-3,-92.266711,0.000000,0.000000
C2-4,-128.505712,0.000000,0.000000
C2-5,-89.711669,0.000000,0.000000
C2-6,-120.932500,0.000000,0.000000
C2-7,-97.256854,0.000000,0.000000
C2-8,-121.393337,0.000000,0.000000
C2-9,-88.746922,0.000000,0.000000
C2-10,-66.715267,0.000000,0.000000
C2-11,-51.946423,0.000000,0.000000
C2-12,-26.738676,0.000000,0.000000
C2-13,-50.174433,0.000000,0.000000
C2-14,-66.469448,0.000000,0.000000
C2-15,-82.823584,0.000000,0.000000
C2-16,-114.498124,0.000000,0.000000
C2-17,-139.789065,0.000000,0.000000
C2-18,-137.650331,0.000000,0.000000
C2-19,-135.911338,0.000000,0.000000
C2-20,-121.154085,0.000000,0.000000
C2-21,-104.057804,0.000000,0.000000
C2-22,-89.832356,0.000000,0.000000
C2-23,-65.650241,0.000000,0.000000
C2-24,-56.967880,0.000000,0.000000
C3-1,26.093838,0.000000,0.000000
C3-2,22.324380,0.000000,0.000000
C3-3,17.989169,0.000000,0.000000
C3-4,37.393025,0.000000,0.000000
C3-5,16.938978,0.000000,0.000000
C3-6,25.030310,0.000000,0.000000
C3-7,14.537998,0.000000,0.000000
C3-8,18.577820,0.000000,0.000000
