timepoint,Storage_Index,ChargeMaxOffer,DischargeMaxOffer
1,303_STORAGE_1,5000,5000
1,313_STORAGE_1,5000,5000
2,313_STORAGE_1,5000,5000
2,303_STORAGE_1,5000,5000
3,303_STORAGE_1,5000,5000
3,313_STORAGE_1,5000,5000
4,303_STORAGE_1,5000,5000
4,313_STORAGE_1,5000,5000
5,303_STORAGE_1,5000,5000
5,313_STORAGE_1,5000,5000
6,303_STORAGE_1,5000,5000
6,313_STORAGE_1,5000,5000
7,303_STORAGE_1,5000,5000
7,313_STORAGE_1,5000,5000
8,303_STORAGE_1,5000,5000
8,313_STORAGE_1,5000,5000
9,313_STORAGE_1,5000,5000
9,303_STORAGE_1,5000,5000
10,303_STORAGE_1,5000,5000
10,313_STORAGE_1,5000,5000
11,303_STORAGE_1,5000,5000
11,313_STORAGE_1,5000,5000
12,303_STORAGE_1,5000,5000
12,313_STORAGE_1,5000,5000
13,303_STORAGE_1,5000,5000
13,313_STORAGE_1,5000,5000
14,313_STORAGE_1,5000,5000
14,303_STORAGE_1,5000,5000
15,313_STORAGE_1,5000,5000
15,303_STORAGE_1,5000,5000
16,303_STORAGE_1,5000,5000
16,313_STORAGE_1,5000,5000
17,313_STORAGE_1,5000,5000
17,303_STORAGE_1,5000,5000
18,313_STORAGE_1,5000,5000
18,303_STORAGE_1,5000,5000
19,303_STORAGE_1,5000,5000
19,313_STORAGE_1,5000,5000
20,313_STORAGE_1,5000,5000
20,303_STORAGE_1,5000,5000
21,303_STORAGE_1,5000,5000
21,313_STORAGE_1,5000,5000
22,313_STORAGE_1,5000,5000
22,303_STORAGE_1,5000,5000
23,303_STORAGE_1,5000,5000
23,313_STORAGE_1,5000,5000
24,303_STORAGE_1,5000,5000
24,313_STORAGE_1,5000,5000
25,313_STORAGE_1,5000,5000
25,303_STORAGE_1,5000,5000
26,303_STORAGE_1,5000,5000
26,313_STORAGE_1,5000,5000
27,313_STORAGE_1,5000,5000
27,303_STORAGE_1,5000,5000
28,313_STORAGE_1,5000,5000
28,303_STORAGE_1,5000,5000
29,303_STORAGE_1,5000,5000
29,313_STORAGE_1,5000,5000
30,303_STORAGE_1,5000,5000
30,313_STORAGE_1,5000,5000
31,313_STORAGE_1,5000,5000
31,303_STORAGE_1,5000,5000
32,313_STORAGE_1,5000,5000
32,303_STORAGE_1,5000,5000
33,303_STORAGE_1,5000,5000
33,313_STORAGE_1,5000,5000
34,303_STORAGE_1,5000,5000
34,313_STORAGE_1,5000,5000
35,313_STORAGE_1,5000,5000
35,303_STORAGE_1,5000,5000
36,313_STORAGE_1,5000,5000
36,303_STORAGE_1,5000,5000
37,313_STORAGE_1,5000,5000
37,303_STORAGE_1,5000,5000
38,303_STORAGE_1,5000,5000
38,313_STORAGE_1,5000,5000
39,313_STORAGE_1,5000,5000
39,303_STORAGE_1,5000,5000
40,313_STORAGE_1,5000,5000
40,303_STORAGE_1,5000,5000
41,303_STORAGE_1,5000,5000
41,313_STORAGE_1,5000,5000
42,303_STORAGE_1,5000,5000
42,313_STORAGE_1,5000,5000
43,303_STORAGE_1,5000,5000
43,313_STORAGE_1,5000,5000
44,303_STORAGE_1,5000,5000
44,313_STORAGE_1,5000,5000
45,303_STORAGE_1,5000,5000
45,313_STORAGE_1,5000,5000
46,303_STORAGE_1,5000,5000
46,313_STORAGE_1,5000,5000
47,313_STORAGE_1,5000,5000
47,303_STORAGE_1,5000,5000
48,303_STORAGE_1,5000,5000
48,313_STORAGE_1,5000,5000
49,313_STORAGE_1,5000,5000
49,303_STORAGE_1,5000,5000
50,303_STORAGE_1,5000,5000
50,313_STORAGE_1,5000,5000
51,303_STORAGE_1,5000,5000
51,313_STORAGE_1,5000,5000
52,313_STORAGE_1,5000,5000
52,303_STORAGE_1,5000,5000
53,313_STORAGE_1,5000,5000
53,303_STORAGE_1,5000,5000
54,313_STORAGE_1,5000,5000
54,303_STORAGE_1,5000,5000
55,303_STORAGE_1,5000,5000
55,313_STORAGE_1,5000,5000
56,313_STORAGE_1,5000,5000
56,303_STORAGE_1,5000,5000
57,313_STORAGE_1,5000,5000
57,303_STORAGE_1,5000,5000
58,303_STORAGE_1,5000,5000
58,313_STORAGE_1,5000,5000
59,303_STORAGE_1,5000,5000
59,313_STORAGE_1,5000,5000
60,303_STORAGE_1,5000,5000
60,313_STORAGE_1,5000,5000
61,303_STORAGE_1,5000,5000
61,313_STORAGE_1,5000,5000
62,313_STORAGE_1,5000,5000
62,303_STORAGE_1,5000,5000
63,313_STORAGE_1,5000,5000
63,303_STORAGE_1,5000,5000
64,313_STORAGE_1,5000,5000
64,303_STORAGE_1,5000,5000
65,313_STORAGE_1,5000,5000
65,303_STORAGE_1,5000,5000
66,303_STORAGE_1,5000,5000
66,313_STORAGE_1,5000,5000
67,303_STORAGE_1,5000,5000
67,313_STORAGE_1,5000,5000
68,313_STORAGE_1,5000,5000
68,303_STORAGE_1,5000,5000
69,313_STORAGE_1,5000,5000
69,303_STORAGE_1,5000,5000
70,303_STORAGE_1,5000,5000
70,313_STORAGE_1,5000,5000
71,313_STORAGE_1,5000,5000
71,303_STORAGE_1,5000,5000
72,313_STORAGE_1,5000,5000
72,303_STORAGE_1,5000,5000
73,313_STORAGE_1,5000,5000
73,303_STORAGE_1,5000,5000
74,313_STORAGE_1,5000,5000
74,303_STORAGE_1,5000,5000
75,313_STORAGE_1,5000,5000
75,303_STORAGE_1,5000,5000
76,303_STORAGE_1,5000,5000
76,313_STORAGE_1,5000,5000
77,303_STORAGE_1,5000,5000
77,313_STORAGE_1,5000,5000
78,313_STORAGE_1,5000,5000
78,303_STORAGE_1,5000,5000
79,303_STORAGE_1,5000,5000
79,313_STORAGE_1,5000,5000
80,303_STORAGE_1,5000,5000
80,313_STORAGE_1,5000,5000
81,303_STORAGE_1,5000,5000
81,313_STORAGE_1,5000,5000
82,313_STORAGE_1,5000,5000
82,303_STORAGE_1,5000,5000
83,303_STORAGE_1,5000,5000
83,313_STORAGE_1,5000,5000
84,303_STORAGE_1,5000,5000
84,313_STORAGE_1,5000,5000
85,313_STORAGE_1,5000,5000
85,303_STORAGE_1,5000,5000
86,313_STORAGE_1,5000,5000
86,303_STORAGE_1,5000,5000
87,313_STORAGE_1,5000,5000
87,303_STORAGE_1,5000,5000
88,313_STORAGE_1,5000,5000
88,303_STORAGE_1,5000,5000
89,313_STORAGE_1,5000,5000
89,303_STORAGE_1,5000,5000
90,313_STORAGE_1,5000,5000
90,303_STORAGE_1,5000,5000
91,303_STORAGE_1,5000,5000
91,313_STORAGE_1,5000,5000
92,303_STORAGE_1,5000,5000
92,313_STORAGE_1,5000,5000
93,303_STORAGE_1,5000,5000
93,313_STORAGE_1,5000,5000
94,303_STORAGE_1,5000,5000
94,313_STORAGE_1,5000,5000
95,313_STORAGE_1,5000,5000
95,303_STORAGE_1,5000,5000
96,303_STORAGE_1,5000,5000
96,313_STORAGE_1,5000,5000
97,303_STORAGE_1,5000,5000
97,313_STORAGE_1,5000,5000
98,303_STORAGE_1,5000,5000
98,313_STORAGE_1,5000,5000
99,313_STORAGE_1,5000,5000
99,303_STORAGE_1,5000,5000
100,313_STORAGE_1,5000,5000
100,303_STORAGE_1,5000,5000
101,303_STORAGE_1,5000,5000
101,313_STORAGE_1,5000,5000
102,313_STORAGE_1,5000,5000
102,303_STORAGE_1,5000,5000
103,313_STORAGE_1,5000,5000
103,303_STORAGE_1,5000,5000
104,313_STORAGE_1,5000,5000
104,303_STORAGE_1,5000,5000
105,303_STORAGE_1,5000,5000
105,313_STORAGE_1,5000,5000
106,313_STORAGE_1,5000,5000
106,303_STORAGE_1,5000,5000
107,313_STORAGE_1,5000,5000
107,303_STORAGE_1,5000,5000
108,303_STORAGE_1,5000,5000
108,313_STORAGE_1,5000,5000
109,313_STORAGE_1,5000,5000
109,303_STORAGE_1,5000,5000
110,313_STORAGE_1,5000,5000
110,303_STORAGE_1,5000,5000
111,303_STORAGE_1,5000,5000
111,313_STORAGE_1,5000,5000
112,303_STORAGE_1,5000,5000
112,313_STORAGE_1,5000,5000
113,313_STORAGE_1,5000,5000
113,303_STORAGE_1,5000,5000
114,303_STORAGE_1,5000,5000
114,313_STORAGE_1,5000,5000
115,303_STORAGE_1,5000,5000
115,313_STORAGE_1,5000,5000
116,313_STORAGE_1,5000,5000
116,303_STORAGE_1,5000,5000
117,303_STORAGE_1,5000,5000
117,313_STORAGE_1,5000,5000
118,303_STORAGE_1,5000,5000
118,313_STORAGE_1,5000,5000
119,313_STORAGE_1,5000,5000
119,303_STORAGE_1,5000,5000
120,303_STORAGE_1,5000,5000
120,313_STORAGE_1,5000,5000
121,313_STORAGE_1,5000,5000
121,303_STORAGE_1,5000,5000
122,313_STORAGE_1,5000,5000
122,303_STORAGE_1,5000,5000
123,303_STORAGE_1,5000,5000
123,313_STORAGE_1,5000,5000
124,313_STORAGE_1,5000,5000
124,303_STORAGE_1,5000,5000
125,313_STORAGE_1,5000,5000
125,303_STORAGE_1,5000,5000
126,303_STORAGE_1,5000,5000
126,313_STORAGE_1,5000,5000
127,313_STORAGE_1,5000,5000
127,303_STORAGE_1,5000,5000
128,303_STORAGE_1,5000,5000
128,313_STORAGE_1,5000,5000
129,313_STORAGE_1,5000,5000
129,303_STORAGE_1,5000,5000
130,303_STORAGE_1,5000,5000
130,313_STORAGE_1,5000,5000
131,313_STORAGE_1,5000,5000
131,303_STORAGE_1,5000,5000
132,313_STORAGE_1,5000,5000
132,303_STORAGE_1,5000,5000
133,303_STORAGE_1,5000,5000
133,313_STORAGE_1,5000,5000
134,303_STORAGE_1,5000,5000
134,313_STORAGE_1,5000,5000
135,313_STORAGE_1,5000,5000
135,303_STORAGE_1,5000,5000
136,303_STORAGE_1,5000,5000
136,313_STORAGE_1,5000,5000
137,313_STORAGE_1,5000,5000
137,303_STORAGE_1,5000,5000
138,303_STORAGE_1,5000,5000
138,313_STORAGE_1,5000,5000
139,303_STORAGE_1,5000,5000
139,313_STORAGE_1,5000,5000
140,313_STORAGE_1,5000,5000
140,303_STORAGE_1,5000,5000
141,313_STORAGE_1,5000,5000
141,303_STORAGE_1,5000,5000
142,313_STORAGE_1,5000,5000
142,303_STORAGE_1,5000,5000
143,303_STORAGE_1,5000,5000
143,313_STORAGE_1,5000,5000
144,313_STORAGE_1,5000,5000
144,303_STORAGE_1,5000,5000
145,303_STORAGE_1,5000,5000
145,313_STORAGE_1,5000,5000
146,303_STORAGE_1,5000,5000
146,313_STORAGE_1,5000,5000
147,303_STORAGE_1,5000,5000
147,313_STORAGE_1,5000,5000
148,313_STORAGE_1,5000,5000
148,303_STORAGE_1,5000,5000
149,313_STORAGE_1,5000,5000
149,303_STORAGE_1,5000,5000
150,313_STORAGE_1,5000,5000
150,303_STORAGE_1,5000,5000
151,313_STORAGE_1,5000,5000
151,303_STORAGE_1,5000,5000
152,313_STORAGE_1,5000,5000
152,303_STORAGE_1,5000,5000
153,313_STORAGE_1,5000,5000
153,303_STORAGE_1,5000,5000
154,303_STORAGE_1,5000,5000
154,313_STORAGE_1,5000,5000
155,313_STORAGE_1,5000,5000
155,303_STORAGE_1,5000,5000
156,303_STORAGE_1,5000,5000
156,313_STORAGE_1,5000,5000
157,303_STORAGE_1,5000,5000
157,313_STORAGE_1,5000,5000
158,313_STORAGE_1,5000,5000
158,303_STORAGE_1,5000,5000
159,313_STORAGE_1,5000,5000
159,303_STORAGE_1,5000,5000
160,313_STORAGE_1,5000,5000
160,303_STORAGE_1,5000,5000
161,303_STORAGE_1,5000,5000
161,313_STORAGE_1,5000,5000
162,303_STORAGE_1,5000,5000
162,313_STORAGE_1,5000,5000
163,313_STORAGE_1,5000,5000
163,303_STORAGE_1,5000,5000
164,313_STORAGE_1,5000,5000
164,303_STORAGE_1,5000,5000
165,313_STORAGE_1,5000,5000
165,303_STORAGE_1,5000,5000
166,303_STORAGE_1,5000,5000
166,313_STORAGE_1,5000,5000
167,303_STORAGE_1,5000,5000
167,313_STORAGE_1,5000,5000
168,313_STORAGE_1,5000,5000
168,303_STORAGE_1,5000,5000
169,303_STORAGE_1,5000,5000
169,313_STORAGE_1,5000,5000
170,303_STORAGE_1,5000,5000
170,313_STORAGE_1,5000,5000
171,303_STORAGE_1,5000,5000
171,313_STORAGE_1,5000,5000
172,303_STORAGE_1,5000,5000
172,313_STORAGE_1,5000,5000
173,303_STORAGE_1,5000,5000
173,313_STORAGE_1,5000,5000
174,303_STORAGE_1,5000,5000
174,313_STORAGE_1,5000,5000
175,303_STORAGE_1,5000,5000
175,313_STORAGE_1,5000,5000
176,303_STORAGE_1,5000,5000
176,313_STORAGE_1,5000,5000
177,313_STORAGE_1,5000,5000
177,303_STORAGE_1,5000,5000
178,313_STORAGE_1,5000,5000
178,303_STORAGE_1,5000,5000
179,303_STORAGE_1,5000,5000
179,313_STORAGE_1,5000,5000
180,313_STORAGE_1,5000,5000
180,303_STORAGE_1,5000,5000
181,303_STORAGE_1,5000,5000
181,313_STORAGE_1,5000,5000
182,303_STORAGE_1,5000,5000
182,313_STORAGE_1,5000,5000
183,303_STORAGE_1,5000,5000
183,313_STORAGE_1,5000,5000
184,313_STORAGE_1,5000,5000
184,303_STORAGE_1,5000,5000
185,313_STORAGE_1,5000,5000
185,303_STORAGE_1,5000,5000
186,313_STORAGE_1,5000,5000
186,303_STORAGE_1,5000,5000
187,313_STORAGE_1,5000,5000
187,303_STORAGE_1,5000,5000
188,313_STORAGE_1,5000,5000
188,303_STORAGE_1,5000,5000
189,303_STORAGE_1,5000,5000
189,313_STORAGE_1,5000,5000
190,313_STORAGE_1,5000,5000
190,303_STORAGE_1,5000,5000
191,303_STORAGE_1,5000,5000
