timepoint,Storage_Index,discharge_offer,charge_offer,soc,charge,discharge
1,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
1,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
2,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
2,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
3,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
3,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
4,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
4,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
5,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
5,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
6,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
6,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
7,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
7,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
8,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
8,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
9,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
9,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
10,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
10,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
11,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
11,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
12,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
12,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
13,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
13,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
14,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
14,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
15,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
15,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
16,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
16,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
17,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
17,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
18,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
18,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
19,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
19,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
20,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
20,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
21,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
21,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
22,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
22,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
23,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
23,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
24,313_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
24,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
25,313_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
25,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
26,313_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
26,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
27,313_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
27,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
28,313_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
28,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
29,313_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
29,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
30,313_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
30,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
31,313_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
31,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
32,313_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
32,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
33,313_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
33,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
34,313_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
34,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
35,313_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
35,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
36,313_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
36,303_STORAGE_1,0.0,-5000.0,0.0,0.0,0.0
37,313_STORAGE_1,0.0,0.0,65.0,50.0,0.0
37,303_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
38,313_STORAGE_1,0.0,0.0,65.0,50.0,0.0
38,303_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
39,313_STORAGE_1,0.0,0.0,65.0,50.0,0.0
39,303_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
40,313_STORAGE_1,0.0,0.0,65.0,50.0,0.0
40,303_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
41,313_STORAGE_1,0.0,0.0,65.0,50.0,0.0
41,303_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
42,313_STORAGE_1,0.0,0.0,65.0,50.0,0.0
42,303_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
43,313_STORAGE_1,0.0,0.0,65.0,50.0,0.0
43,303_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
44,313_STORAGE_1,0.0,0.0,65.0,50.0,0.0
44,303_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
45,313_STORAGE_1,0.0,0.0,65.0,50.0,0.0
45,303_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
46,313_STORAGE_1,0.0,0.0,65.0,50.0,0.0
46,303_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
47,313_STORAGE_1,0.0,0.0,65.0,50.0,0.0
47,303_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
48,313_STORAGE_1,0.0,0.0,65.0,50.0,0.0
48,303_STORAGE_1,0.0,0.0,22.5,26.470588,0.0
49,313_STORAGE_1,0.0,0.0,107.5,50.0,0.0
49,303_STORAGE_1,0.0,0.0,65.0,50.0,0.0
50,313_STORAGE_1,0.0,0.0,107.5,50.0,0.0
50,303_STORAGE_1,0.0,0.0,65.0,50.0,0.0
51,313_STORAGE_1,0.0,0.0,107.5,50.0,0.0
51,303_STORAGE_1,0.0,0.0,65.0,50.0,0.0
52,313_STORAGE_1,0.0,0.0,107.5,50.0,0.0
52,303_STORAGE_1,0.0,0.0,65.0,50.0,0.0
53,313_STORAGE_1,0.0,0.0,107.5,50.0,0.0
53,303_STORAGE_1,0.0,0.0,65.0,50.0,0.0
54,313_STORAGE_1,0.0,0.0,107.5,50.0,0.0
54,303_STORAGE_1,0.0,0.0,65.0,50.0,0.0
55,313_STORAGE_1,0.0,0.0,107.5,50.0,0.0
55,303_STORAGE_1,0.0,0.0,65.0,50.0,0.0
56,313_STORAGE_1,0.0,0.0,107.5,50.0,0.0
56,303_STORAGE_1,0.0,0.0,65.0,50.0,0.0
57,313_STORAGE_1,0.0,0.0,107.5,50.0,0.0
57,303_STORAGE_1,0.0,0.0,65.0,50.0,0.0
58,313_STORAGE_1,0.0,0.0,107.5,50.0,0.0
58,303_STORAGE_1,0.0,0.0,65.0,50.0,0.0
59,313_STORAGE_1,0.0,0.0,107.5,50.0,0.0
59,303_STORAGE_1,0.0,0.0,65.0,50.0,0.0
60,313_STORAGE_1,0.0,0.0,107.5,50.0,0.0
60,303_STORAGE_1,0.0,0.0,65.0,50.0,0.0
61,313_STORAGE_1,0.0,0.0,150.0,50.0,0.0
61,303_STORAGE_1,0.0,-5000.0,65.0,0.0,0.0
62,313_STORAGE_1,0.0,0.0,150.0,50.0,0.0
62,303_STORAGE_1,0.0,-5000.0,65.0,0.0,0.0
63,313_STORAGE_1,0.0,0.0,150.0,50.0,0.0
63,303_STORAGE_1,0.0,-5000.0,65.0,0.0,0.0
64,313_STORAGE_1,0.0,0.0,150.0,50.0,0.0
64,303_STORAGE_1,0.0,-5000.0,65.0,0.0,0.0
65,313_STORAGE_1,0.0,0.0,150.0,50.0,0.0
65,303_STORAGE_1,0.0,-5000.0,65.0,0.0,0.0
66,313_STORAGE_1,0.0,0.0,150.0,50.0,0.0
66,303_STORAGE_1,0.0,-5000.0,65.0,0.0,0.0
67,313_STORAGE_1,0.0,0.0,150.0,50.0,0.0
67,303_STORAGE_1,0.0,-5000.0,65.0,0.0,0.0
68,313_STORAGE_1,0.0,0.0,150.0,50.0,0.0
68,303_STORAGE_1,0.0,-5000.0,65.0,0.0,0.0
69,313_STORAGE_1,0.0,0.0,150.0,50.0,0.0
69,303_STORAGE_1,0.0,-5000.0,65.0,0.0,0.0
70,313_STORAGE_1,0.0,0.0,150.0,50.0,0.0
70,303_STORAGE_1,0.0,-5000.0,65.0,0.0,0.0
71,313_STORAGE_1,0.0,0.0,150.0,50.0,0.0
71,303_STORAGE_1,0.0,-5000.0,65.0,0.0,0.0
72,313_STORAGE_1,0.0,0.0,150.0,50.0,0.0
72,303_STORAGE_1,0.0,-5000.0,65.0,0.0,0.0
73,313_STORAGE_1,0.0,0.0,150.0,0.0,0.0
73,303_STORAGE_1,0.0,0.0,107.5,50.0,0.0
74,313_STORAGE_1,0.0,0.0,150.0,0.0,0.0
74,303_STORAGE_1,0.0,0.0,107.5,50.0,0.0
75,313_STORAGE_1,0.0,0.0,150.0,0.0,0.0
75,303_STORAGE_1,0.0,0.0,107.5,50.0,0.0
76,313_STORAGE_1,0.0,0.0,150.0,0.0,0.0
76,303_STORAGE_1,0.0,0.0,107.5,50.0,0.0
77,313_STORAGE_1,0.0,0.0,150.0,0.0,0.0
77,303_STORAGE_1,0.0,0.0,107.5,50.0,0.0
78,313_STORAGE_1,0.0,0.0,150.0,0.0,0.0
78,303_STORAGE_1,0.0,0.0,107.5,50.0,0.0
79,313_STORAGE_1,0.0,0.0,150.0,0.0,0.0
79,303_STORAGE_1,0.0,0.0,107.5,50.0,0.0
80,313_STORAGE_1,0.0,0.0,150.0,0.0,0.0
80,303_STORAGE_1,0.0,0.0,107.5,50.0,0.0
81,313_STORAGE_1,0.0,0.0,150.0,0.0,0.0
81,303_STORAGE_1,0.0,0.0,107.5,50.0,0.0
82,313_STORAGE_1,0.0,0.0,150.0,0.0,0.0
82,303_STORAGE_1,0.0,0.0,107.5,50.0,0.0
83,313_STORAGE_1,0.0,0.0,150.0,0.0,0.0
83,303_STORAGE_1,0.0,0.0,107.5,50.0,0.0
84,313_STORAGE_1,0.0,0.0,150.0,0.0,0.0
84,303_STORAGE_1,0.0,0.0,107.5,50.0,0.0
85,313_STORAGE_1,0.0,-5000.0,150.0,0.0,0.0
85,303_STORAGE_1,0.0,0.0,150.0,50.0,0.0
86,313_STORAGE_1,0.0,-5000.0,150.0,0.0,0.0
86,303_STORAGE_1,0.0,0.0,150.0,50.0,0.0
87,313_STORAGE_1,0.0,-5000.0,150.0,0.0,0.0
87,303_STORAGE_1,0.0,0.0,150.0,50.0,0.0
88,313_STORAGE_1,0.0,-5000.0,150.0,0.0,0.0
88,303_STORAGE_1,0.0,0.0,150.0,50.0,0.0
89,313_STORAGE_1,0.0,-5000.0,150.0,0.0,0.0
89,303_STORAGE_1,0.0,0.0,150.0,50.0,0.0
90,313_STORAGE_1,0.0,-5000.0,150.0,0.0,0.0
90,303_STORAGE_1,0.0,0.0,150.0,50.0,0.0
91,313_STORAGE_1,0.0,-5000.0,150.0,0.0,0.0
91,303_STORAGE_1,0.0,0.0,150.0,50.0,0.0
92,313_STORAGE_1,0.0,-5000.0,150.0,0.0,0.0
92,303_STORAGE_1,0.0,0.0,150.0,50.0,0.0
93,313_STORAGE_1,0.0,-5000.0,150.0,0.0,0.0
93,303_STORAGE_1,0.0,0.0,150.0,50.0,0.0
94,313_STORAGE_1,0.0,-5000.0,150.0,0.0,0.0
94,303_STORAGE_1,0.0,0.0,150.0,50.0,0.0
95,313_STORAGE_1,0.0,-5000.0,150.0,0.0,0.0
95,303_STORAGE_1,0.0,0.0,150.0,50.0,0.0
96,313_STORAGE_1,0.0,-5000.0,150.0,0.0,0.0
96,303_STORAGE_1,0.0,0.0,150.0,50.0,0.0
97,313_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
97,303_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
98,313_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
98,303_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
99,313_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
99,303_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
100,313_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
100,303_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
101,313_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
101,303_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
102,313_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
102,303_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
103,313_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
103,303_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
104,313_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
104,303_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
105,313_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
105,303_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
106,313_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
106,303_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
107,313_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
107,303_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
108,313_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
108,303_STORAGE_1,15.731579,-4984.268421,150.0,0.0,0.0
109,313_STORAGE_1,21.116646,-4978.883354,150.0,0.0,0.0
109,303_STORAGE_1,21.116646,-4978.883354,150.0,0.0,0.0
110,313_STORAGE_1,21.116646,-4978.883354,150.0,0.0,0.0
110,303_STORAGE_1,21.116646,-4978.883354,150.0,0.0,0.0
111,313_STORAGE_1,21.116646,-4978.883354,150.0,0.0,0.0
111,303_STORAGE_1,21.116646,-4978.883354,150.0,0.0,0.0
112,313_STORAGE_1,21.116646,-4978.883354,150.0,0.0,0.0
112,303_STORAGE_1,21.116646,-4978.883354,150.0,0.0,0.0
113,313_STORAGE_1,21.116646,-4978.883354,150.0,0.0,0.0
113,303_STORAGE_1,21.116646,-4978.883354,150.0,0.0,0.0
114,313_STORAGE_1,21.116646,-4978.883354,150.0,0.0,0.0
114,303_STORAGE_1,21.116646,-4978.883354,150.0,0.0,0.0
115,313_STORAGE_1,21.116646,-4978.883354,150.0,0.0,0.0
115,303_STORAGE_1,21.116646,-4978.883354,150.0,0.0,0.0
116,313_STORAGE_1,21.116646,-4978.883354,150.0,0.0,0.0
