,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,34.124590,0.000000,0.000000
C1-2,30.600754,0.000000,0.000000
C1-3,47.556189,0.000000,0.000000
C1-4,22.110887,0.000000,0.000000
C1-5,47.968324,0.000000,0.000000
C1-6,10.132873,0.000000,0.000000
C1-7,12.050269,0.000000,0.000000
C1-8,8.969918,0.000000,0.000000
C1-9,16.786152,0.000000,0.000000
C1-10,8.872145,0.000000,0.000000
C1-11,17.311225,0.000000,0.000000
C1-12,32.677376,0.000000,0.000000
C1-13,37.176457,0.000000,0.000000
C1-14,46.290860,0.000000,0.000000
C1-15,54.794273,0.000000,0.000000
C1-16,47.150266,0.000000,0.000000
C1-17,47.615831,0.000000,0.000000
C1-18,46.612425,0.000000,0.000000
C1-19,34.693678,0.000000,0.000000
C1-20,28.736716,0.000000,0.000000
C1-21,22.654312,0.000000,0.000000
C1-22,19.988734,0.000000,0.000000
C1-23,23.095116,0.000000,0.000000
C1-24,22.208798,0.000000,0.000000
C2-1,-100.617465,0.000000,0.000000
C2-2,-92.620958,0.000000,0.000000
C2-3,-115.081041,0.000000,0.000000
C2-4,-74.377341,0.000000,0.000000
C2-5,-128.268076,0.000000,0.000000
C2-6,-37.520005,0.000000,0.000000
C2-7,-43.269707,0.000000,0.000000
C2-8,-40.037468,0.000000,0.000000
C2-9,-51.670555,0.000000,0.000000
C2-10,-35.491181,0.000000,0.000000
C2-11,-54.698430,0.000000,0.000000
C2-12,-88.639254,0.000000,0.000000
C2-13,-101.680431,0.000000,0.000000
C2-14,-122.400160,0.000000,0.000000
C2-15,-142.367237,0.000000,0.000000
C2-16,-126.224277,0.000000,0.000000
C2-17,-124.346860,0.000000,0.000000
C2-18,-123.072248,0.000000,0.000000
C2-19,-97.298620,0.000000,0.000000
C2-20,-83.686193,0.000000,0.000000
C2-21,-69.694202,0.000000,0.000000
C2-22,-64.063086,0.000000,0.000000
C2-23,-69.308645,0.000000,0.000000
C2-24,-66.578641,0.000000,0.000000
C3-1,20.265731,0.000000,0.000000
C3-2,17.603880,0.000000,0.000000
C3-3,24.013938,0.000000,0.000000
C3-4,9.370536,0.000000,0.000000
C3-5,37.420917,0.000000,0.000000
C3-6,-17.763769,0.000000,0.000000
C3-7,-18.748926,0.000000,0.000000
C3-8,-22.197873,0.000000,0.000000
C3-9,-23.676812,0.000000,0.000000
C3-10,-34.948822,0.000000,0.000000
C3-11,-27.341046,0.000000,0.000000
C3-12,-11.158021,0.000000,0.000000
C3-13,-3.299253,0.000000,0.000000
C3-14,7.263998,0.000000,0.000000
C3-15,18.727662,0.000000,0.000000
C3-16,11.458700,0.000000,0.000000
C3-17,10.431124,0.000000,0.000000
C3-18,5.854951,0.000000,0.000000
C3-19,-5.727864,0.000000,0.000000
C3-20,-10.188770,0.000000,0.000000
C3-21,-14.459636,0.000000,0.000000
C3-22,-13.888951,0.000000,0.000000
C3-23,-7.359392,0.000000,0.000000
C3-24,-5.154358,0.000000,0.000000
C4-1,-22.828347,0.000000,0.000000
C4-2,-22.964910,0.000000,0.000000
C4-3,-8.573337,0.000000,0.000000
C4-4,-24.815150,0.000000,0.000000
C4-5,-16.690938,0.000000,0.000000
C4-6,-21.096016,0.000000,0.000000
C4-7,-23.086750,0.000000,0.000000
C4-8,-27.187554,0.000000,0.000000
C4-9,-23.080848,0.000000,0.000000
C4-10,-26.650814,0.000000,0.000000
C4-11,-26.022283,0.000000,0.000000
C4-12,-23.199008,0.000000,0.000000
C4-13,-24.489696,0.000000,0.000000
C4-14,-23.108075,0.000000,0.000000
C4-15,-21.972907,0.000000,0.000000
C4-16,-23.872522,0.000000,0.000000
C4-17,-21.398522,0.000000,0.000000
C4-18,-23.517455,0.000000,0.000000
C4-19,-25.964524,0.000000,0.000000
C4-20,-26.092151,0.000000,0.000000
C4-21,-26.049894,0.000000,0.000000
C4-22,-25.812106,0.000000,0.000000
