,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,2.281598,0.000000,0.000000
C1-2,4.006026,0.000000,0.000000
C1-3,2.274559,0.000000,0.000000
C1-4,2.248527,0.000000,0.000000
C1-5,2.336780,0.000000,0.000000
C1-6,4.033896,0.000000,0.000000
C1-7,4.014402,0.000000,0.000000
C1-8,2.352956,0.000000,0.000000
C1-9,2.480283,0.000000,0.000000
C1-10,2.489281,0.000000,0.000000
C1-11,2.419949,0.000000,0.000000
C1-12,2.601215,0.000000,0.000000
C1-13,2.307462,0.000000,0.000000
C1-14,2.487095,0.000000,0.000000
C1-15,2.677134,0.000000,0.000000
C1-16,2.660571,0.000000,0.000000
C1-17,4.138007,0.000000,0.000000
C1-18,2.860035,0.000000,0.000000
C1-19,4.063883,0.000000,0.000000
C1-20,3.090821,0.000000,0.000000
C1-21,3.229533,0.000000,0.000000
C1-22,3.468761,0.000000,0.000000
C1-23,3.428524,0.000000,0.000000
C1-24,3.525212,0.000000,0.000000
C1-25,3.607206,0.000000,0.000000
C1-26,4.127016,0.000000,0.000000
C1-27,3.719264,0.000000,0.000000
C1-28,4.167995,0.000000,0.000000
C1-29,3.819006,0.000000,0.000000
C1-30,4.045758,0.000000,0.000000
C1-31,3.979722,0.000000,0.000000
C1-32,4.075194,0.000000,0.000000
C1-33,4.073512,0.000000,0.000000
C1-34,4.152426,0.000000,0.000000
C1-35,4.187981,0.000000,0.000000
C1-36,4.192398,0.000000,0.000000
C1-37,4.195810,0.000000,0.000000
C1-38,4.203539,0.000000,0.000000
C1-39,4.206995,0.000000,0.000000
C1-40,4.213738,0.000000,0.000000
C1-41,4.215975,0.000000,0.000000
C1-42,4.118154,0.000000,0.000000
C1-43,4.248877,0.000000,0.000000
C1-44,4.234511,0.000000,0.000000
C1-45,4.296197,0.000000,0.000000
C1-46,2.662516,0.000000,0.000000
C1-47,4.327821,0.000000,0.000000
C1-48,4.356104,0.000000,0.000000
C2-1,-7.103101,0.000000,0.000000
C2-2,-10.701083,0.000000,0.000000
C2-3,-7.098469,0.000000,0.000000
C2-4,-7.055218,0.000000,0.000000
C2-5,-7.249942,0.000000,0.000000
C2-6,-9.739394,0.000000,0.000000
C2-7,-10.768094,0.000000,0.000000
C2-8,-7.298482,0.000000,0.000000
C2-9,-7.566026,0.000000,0.000000
C2-10,-7.588594,0.000000,0.000000
C2-11,-7.459742,0.000000,0.000000
C2-12,-7.851886,0.000000,0.000000
C2-13,-7.211532,0.000000,0.000000
C2-14,-7.600944,0.000000,0.000000
C2-15,-7.997133,0.000000,0.000000
C2-16,-7.964760,0.000000,0.000000
C2-17,-10.182566,0.000000,0.000000
C2-18,-8.398207,0.000000,0.000000
C2-19,-10.925669,0.000000,0.000000
C2-20,-8.918709,0.000000,0.000000
C2-21,-9.221824,0.000000,0.000000
C2-22,-9.740636,0.000000,0.000000
C2-23,-9.683128,0.000000,0.000000
C2-24,-9.911647,0.000000,0.000000
C2-25,-10.076761,0.000000,0.000000
C2-26,-11.160505,0.000000,0.000000
C2-27,-10.325343,0.000000,0.000000
C2-28,-11.078854,0.000000,0.000000
C2-29,-10.574475,0.000000,0.000000
C2-30,-11.057445,0.000000,0.000000
C2-31,-10.932263,0.000000,0.000000
C2-32,-11.138293,0.000000,0.000000
C2-33,-11.156404,0.000000,0.000000
C2-34,-11.322613,0.000000,0.000000
C2-35,-11.404956,0.000000,0.000000
C2-36,-11.414558,0.000000,0.000000
C2-37,-11.443097,0.000000,0.000000
C2-38,-11.459899,0.000000,0.000000
C2-39,-11.484406,0.000000,0.000000
C2-40,-11.494207,0.000000,0.000000
C2-41,-11.502469,0.000000,0.000000
C2-42,-11.315961,0.000000,0.000000
C2-43,-11.384622,0.000000,0.000000
C2-44,-11.570925,0.000000,0.000000
C2-45,-11.168518,0.000000,0.000000
C2-46,-8.298496,0.000000,0.000000
C2-47,-10.983304,0.000000,0.000000
C2-48,-10.798479,0.000000,0.000000
C3-1,1.230279,0.000000,0.000000
C3-2,3.091094,0.000000,0.000000
C3-3,1.212869,0.000000,0.000000
C3-4,1.182911,0.000000,0.000000
C3-5,1.286550,0.000000,0.000000
C3-6,2.076055,0.000000,0.000000
C3-7,3.098769,0.000000,0.000000
C3-8,1.272201,0.000000,0.000000
C3-9,1.403924,0.000000,0.000000
C3-10,1.399094,0.000000,0.000000
C3-11,1.315509,0.000000,0.000000
C3-12,1.510815,0.000000,0.000000
C3-13,1.236407,0.000000,0.000000
C3-14,1.410798,0.000000,0.000000
C3-15,1.582974,0.000000,0.000000
C3-16,1.543101,0.000000,0.000000
C3-17,2.242420,0.000000,0.000000
C3-18,1.710552,0.000000,0.000000
C3-19,2.997362,0.000000,0.000000
C3-20,1.923830,0.000000,0.000000
C3-21,2.047183,0.000000,0.000000
C3-22,2.285716,0.000000,0.000000
C3-23,2.223147,0.000000,0.000000
C3-24,2.295526,0.000000,0.000000
C3-25,2.361660,0.000000,0.000000
C3-26,2.888790,0.000000,0.000000
C3-27,2.406173,0.000000,0.000000
C3-28,2.674150,0.000000,0.000000
C3-29,2.494695,0.000000,0.000000
C3-30,2.716941,0.000000,0.000000
C3-31,2.626652,0.000000,0.000000
C3-32,2.708900,0.000000,0.000000
C3-33,2.708875,0.000000,0.000000
C3-34,2.776352,0.000000,0.000000
C3-35,2.794830,0.000000,0.000000
C3-36,2.783028,0.000000,0.000000
C3-37,2.786922,0.000000,0.000000
C3-38,2.766268,0.000000,0.000000
C3-39,2.767503,0.000000,0.000000
C3-40,2.746496,0.000000,0.000000
C3-41,2.742612,0.000000,0.000000
C3-42,2.622784,0.000000,0.000000
C3-43,2.538073,0.000000,0.000000
