,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,49.375591,0.000000,0.000000
C1-2,49.027150,0.000000,0.000000
C1-3,44.856240,0.000000,0.000000
C1-4,34.226061,0.000000,0.000000
C1-5,48.542950,0.000000,0.000000
C1-6,49.294913,0.000000,0.000000
C1-7,40.853452,0.000000,0.000000
C1-8,15.165468,0.000000,0.000000
C1-9,14.532603,0.000000,0.000000
C1-10,34.271914,0.000000,0.000000
C1-11,42.735794,0.000000,0.000000
C1-12,30.811419,0.000000,0.000000
C1-13,33.500277,0.000000,0.000000
C1-14,17.347992,0.000000,0.000000
C1-15,16.055769,0.000000,0.000000
C1-16,20.742746,0.000000,0.000000
C1-17,40.556040,0.000000,0.000000
C1-18,42.120825,0.000000,0.000000
C1-19,52.951486,0.000000,0.000000
C1-20,52.974762,0.000000,0.000000
C1-21,52.713324,0.000000,0.000000
C1-22,52.111501,0.000000,0.000000
C1-23,51.106422,0.000000,0.000000
C1-24,47.661724,0.000000,0.000000
C2-1,-126.088457,0.000000,0.000000
C2-2,-124.016349,0.000000,0.000000
C2-3,-115.825809,0.000000,0.000000
C2-4,-93.982240,0.000000,0.000000
C2-5,-123.275125,0.000000,0.000000
C2-6,-118.582233,0.000000,0.000000
C2-7,-107.481185,0.000000,0.000000
C2-8,-47.019271,0.000000,0.000000
C2-9,-52.991332,0.000000,0.000000
C2-10,-95.147382,0.000000,0.000000
C2-11,-113.359437,0.000000,0.000000
C2-12,-80.155627,0.000000,0.000000
C2-13,-88.041351,0.000000,0.000000
C2-14,-51.504972,0.000000,0.000000
C2-15,-51.220147,0.000000,0.000000
C2-16,-64.638286,0.000000,0.000000
C2-17,-105.473124,0.000000,0.000000
C2-18,-114.278397,0.000000,0.000000
C2-19,-139.465991,0.000000,0.000000
C2-20,-138.438575,0.000000,0.000000
C2-21,-134.795109,0.000000,0.000000
C2-22,-132.129507,0.000000,0.000000
C2-23,-130.890058,0.000000,0.000000
C2-24,-123.411572,0.000000,0.000000
C3-1,30.434473,0.000000,0.000000
C3-2,30.555791,0.000000,0.000000
C3-3,27.492821,0.000000,0.000000
C3-4,17.065258,0.000000,0.000000
C3-5,32.041255,0.000000,0.000000
C3-6,26.135153,0.000000,0.000000
C3-7,22.775155,0.000000,0.000000
C3-8,-12.460022,0.000000,0.000000
C3-9,-7.853831,0.000000,0.000000
C3-10,12.649590,0.000000,0.000000
C3-11,21.133609,0.000000,0.000000
C3-12,0.025006,0.000000,0.000000
C3-13,4.641043,0.000000,0.000000
C3-14,-15.298888,0.000000,0.000000
C3-15,-13.659413,0.000000,0.000000
C3-16,-4.825751,0.000000,0.000000
C3-17,14.726638,0.000000,0.000000
C3-18,13.955104,0.000000,0.000000
C3-19,24.331651,0.000000,0.000000
C3-20,23.605540,0.000000,0.000000
C3-21,22.410162,0.000000,0.000000
C3-22,23.182195,0.000000,0.000000
C3-23,26.449881,0.000000,0.000000
C3-24,26.311062,0.000000,0.000000
C4-1,-13.736618,0.000000,0.000000
C4-2,-12.391940,0.000000,0.000000
C4-3,-13.768284,0.000000,0.000000
C4-4,-17.091695,0.000000,0.000000
C4-5,-12.223071,0.000000,0.000000
C4-6,-7.839777,0.000000,0.000000
C4-7,-15.132376,0.000000,0.000000
C4-8,-18.597050,0.000000,0.000000
C4-9,-24.359593,0.000000,0.000000
C4-10,-19.409965,0.000000,0.000000
C4-11,-17.509205,0.000000,0.000000
C4-12,-15.493245,0.000000,0.000000
C4-13,-16.377222,0.000000,0.000000
C4-14,-19.356279,0.000000,0.000000
C4-15,-21.225996,0.000000,0.000000
C4-16,-22.220328,0.000000,0.000000
C4-17,-16.110098,0.000000,0.000000
C4-18,-21.727656,0.000000,0.000000
C4-19,-21.266411,0.000000,0.000000
C4-20,-20.429486,0.000000,0.000000
C4-21,-17.760168,0.000000,0.000000
C4-22,-16.163676,0.000000,0.000000
C4-23,-16.050945,0.000000,0.000000
C4-24,-15.801137,0.000000,0.000000
C5-1,21.547356,0.000000,0.000000
C5-2,21.511308,0.000000,0.000000
C5-3,19.575963,0.000000,0.000000
C5-4,12.974985,0.000000,0.000000
C5-5,22.423249,0.000000,0.000000
C5-6,18.377651,0.000000,0.000000
C5-7,16.599716,0.000000,0.000000
C5-8,-6.037861,0.000000,0.000000
C5-9,-2.703343,0.000000,0.000000
C5-10,10.367896,0.000000,0.000000
C5-11,15.795616,0.000000,0.000000
C5-12,2.008713,0.000000,0.000000
C5-13,5.059878,0.000000,0.000000
C5-14,-7.714426,0.000000,0.000000
C5-15,-6.569231,0.000000,0.000000
C5-16,-0.795863,0.000000,0.000000
C5-17,11.587682,0.000000,0.000000
C5-18,11.574042,0.000000,0.000000
C5-19,18.368482,0.000000,0.000000
C5-20,17.846356,0.000000,0.000000
C5-21,16.879534,0.000000,0.000000
C5-22,17.228198,0.000000,0.000000
C5-23,19.255753,0.000000,0.000000
C5-24,19.059508,0.000000,0.000000
C6-1,175.000000,0.000000,36.682861
C6-2,175.000000,0.000000,0.000000
C6-3,157.887719,0.000000,0.000000
C6-4,111.925315,0.000000,0.000000
C6-5,175.000000,0.000000,0.000000
C6-6,175.000000,0.000000,0.000000
C6-7,139.747875,0.000000,0.000000
C6-8,22.518436,0.000000,0.000000
C6-9,20.650108,0.000000,0.000000
C6-10,106.182034,0.000000,0.000000
C6-11,142.402459,0.000000,0.000000
C6-12,86.141242,0.000000,0.000000
C6-13,98.376063,0.000000,0.000000
C6-14,26.175900,0.000000,0.000000
C6-15,22.267894,0.000000,0.000000
C6-16,44.742336,0.000000,0.000000
C6-17,130.459221,0.000000,0.000000
C6-18,130.553613,0.000000,0.000000
C6-19,175.000000,0.000000,0.000000
C6-20,175.000000,0.000000,65.041009
C6-21,175.000000,0.000000,64.517839
C6-22,175.000000,0.000000,62.388963
C6-23,175.000000,0.000000,36.682861
C6-24,164.151866,0.000000,0.000000
C7-1,38.222128,0.000000,0.000000
C7-2,43.172845,0.000000,0.000000
C7-3,28.228295,0.000000,0.000000
C7-4,-39.693129,0.000000,0.000000
C7-5,61.092412,0.000000,0.000000
C7-6,9.362218,0.000000,0.000000
C7-7,-6.595875,0.000000,0.000000
C7-8,-143.394082,0.000000,0.000000
C7-9,-150.829039,0.000000,0.000000
C7-10,124.094121,0.000000,0.000000
C7-11,10.354713,0.000000,0.000000
C7-12,-18.195540,0.000000,0.000000
C7-13,-86.784134,0.000000,0.000000
C7-14,-83.548495,0.000000,0.000000
C7-15,-98.761024,0.000000,0.000000
C7-16,-82.882773,0.000000,0.000000
C7-17,-9.609545,0.000000,0.000000
C7-18,-44.436123,0.000000,0.000000
C7-19,15.154434,0.000000,0.000000
C7-20,79.992058,0.000000,0.000000
C7-21,74.748648,0.000000,0.000000
C7-22,72.174774,0.000000,0.000000
C7-23,52.788757,0.000000,0.000000
C7-24,77.506529,0.000000,0.000000
C8-1,-45.445887,0.000000,0.000000
C8-2,-42.837052,0.000000,0.000000
C8-3,-43.557907,0.000000,0.000000
C8-4,-46.342881,0.000000,0.000000
C8-5,-41.474257,0.000000,0.000000
C8-6,-37.407003,0.000000,0.000000
C8-7,-45.179513,0.000000,0.000000
C8-8,-48.960226,0.000000,0.000000
C8-9,-56.092272,0.000000,0.000000
C8-10,-52.453622,0.000000,0.000000
C8-11,-51.419044,0.000000,0.000000
C8-12,-49.286032,0.000000,0.000000
C8-13,-50.567984,0.000000,0.000000
C8-14,-53.242707,0.000000,0.000000
C8-15,-54.679334,0.000000,0.000000
C8-16,-55.603435,0.000000,0.000000
C8-17,-50.499848,0.000000,0.000000
C8-18,-61.607124,0.000000,0.000000
C8-19,-63.873181,0.000000,0.000000
C8-20,-62.813858,0.000000,0.000000
C8-21,-58.646280,0.000000,0.000000
C8-22,-55.106732,0.000000,0.000000
C8-23,-52.594444,0.000000,0.000000
C8-24,-49.675860,0.000000,0.000000
C9-1,0.010715,0.000000,0.000000
C9-2,1.344940,0.000000,0.000000
C9-3,-1.089115,0.000000,0.000000
C9-4,-11.000069,0.000000,0.000000
C9-5,3.975927,0.000000,0.000000
